frame,pelvis x,pelvis y
0,252.69464,373.45282
1,251.80788,373.44012
2,251.87901,372.61475
3,249.38512,373.22717
4,252.44766,371.71057
5,249.92491,371.74353
6,245.83707,371.94604
7,240.32579,372.71863
8,237.85222,373.10547
9,237.63428,371.6686
10,246.38661,373.95337
11,246.58893,373.23306
12,255.33334,373.93338
13,258.4905,372.54932
14,269.75577,373.56595
15,290.98962,373.92142
16,296.23206,373.91522
17,296.15146,373.9048
18,303.72226,374.70267
19,315.11743,376.17883
20,325.90488,377.79575
21,351.66254,378.29138
22,371.16388,382.12823
23,371.0514,382.06332
24,369.37463,380.41144
25,372.54498,384.63452
26,378.12955,386.34695
27,378.3474,387.53253
28,377.21075,385.87067
29,378.03534,385.7649
30,381.67975,383.0242
31,399.62646,377.64618
32,395.3712,375.6149
33,393.05063,376.53802
34,391.55634,376.88577
35,391.6267,376.72537
36,387.38333,376.5831
37,378.48178,375.20795
38,364.06888,375.42865
39,351.99542,373.8651
40,340.45276,371.82706
41,343.76855,371.79898
42,330.80145,371.15506
43,324.43228,371.4761
44,316.66055,371.70438
45,320.5951,372.5683
46,323.6254,372.42514
47,323.67764,372.58405
48,310.87823,371.82983
49,300.3642,370.95108
50,292.6323,370.1684
51,277.95444,368.98874
52,265.201,367.32138
53,265.33224,367.2852
54,250.22102,363.84772
55,234.02443,360.5373
56,219.77826,356.23557
57,224.51308,353.4264
58,230.76366,350.06165
59,231.00468,349.38214
60,242.89236,346.00253
61,238.91475,345.90466
62,233.54027,348.661
63,229.50394,352.61093
64,239.24652,360.4702
65,239.4542,360.4554
66,269.37952,374.8875
67,269.51053,377.00156
68,252.36789,380.2587
69,249.32156,381.92773
70,279.4963,384.9983
71,279.4651,384.9595
72,294.43594,388.1097
73,297.35754,392.96555
74,296.18854,397.65976
75,306.48676,403.89185
76,342.20178,405.92047
77,338.60144,406.08267
78,355.46686,409.00415
79,364.76068,410.4695
80,364.13037,405.7941
81,364.82404,407.61752
82,369.97754,409.9659
83,369.7344,409.9866
84,371.38086,409.49252
85,356.21017,413.97247
86,356.13876,413.7711
87,346.33234,414.31198
88,337.8718,411.6988
89,337.332,411.08167
90,330.6242,407.39307
91,320.70322,402.795
92,317.1437,398.7049
93,317.70108,397.97305
94,333.35886,396.8484
95,333.38843,396.85043
96,309.92102,399.3473
97,312.6999,400.24573
98,316.23712,400.64822
99,308.58115,399.40646
100,301.7709,398.107
101,301.83405,397.4814
102,299.24677,396.00525
103,283.2215,393.14734
104,276.56732,389.96942
105,251.65964,385.71878
106,232.87473,380.28323
107,234.34537,379.98053
108,219.00087,372.10928
109,205.09167,363.67715
110,203.58742,356.77234
111,209.8917,349.92358
112,200.85516,348.36005
113,200.44574,348.2559
114,211.56813,345.8927
115,227.24944,346.56592
116,222.355,345.7632
117,206.90154,343.13593
118,183.1463,336.31784
119,182.90353,337.08206
120,156.08264,329.64862
121,127.86357,322.19196
122,77.399025,314.69504
123,44.599434,307.72482
124,15.718287,295.52957
125,20.567951,294.70258
126,22.300262,286.7769
127,33.972946,277.3152
128,9.968088,271.14114
129,9.491795,264.377
130,-20.289583,257.51447
131,-20.162373,257.5589
132,-42.24535,251.59036
133,-43.011913,242.36244
134,-40.18016,237.14798
135,-37.352177,231.9404
136,-35.280895,226.89124
137,-34.968475,226.8329
138,-26.663244,222.10889
139,-8.850747,219.12982
140,7.23673,216.3104
141,14.991219,209.97914
142,34.840145,202.60376
143,42.152843,203.60301
144,35.829258,190.87216
145,79.507774,182.27184
146,109.70179,175.23065
147,130.99805,171.26472
148,153.61433,169.86356
149,153.9794,169.81816
150,169.92424,167.46979
151,171.50381,166.50732
152,174.04907,168.15678
153,164.14691,168.61366
154,170.31041,170.02124
155,170.2883,170.05109
156,165.84938,172.9953
157,163.96617,178.26189
158,158.71883,186.82425
159,140.96854,196.09743
160,136.28584,205.95757
161,135.91576,206.02617
162,140.92671,215.71114
163,152.0042,226.35417
164,178.92256,236.72964
165,194.81152,246.86171
166,204.21446,252.79756
167,204.18797,252.73557
168,211.66493,256.71738
169,211.94385,256.11627
170,227.62476,258.2325
171,232.88611,259.44064
172,220.05049,255.90503
173,220.22783,255.87234
174,212.15564,251.24484
175,203.26901,245.83931
176,201.08682,240.80484
177,200.78531,242.05373
178,185.72162,242.37494
179,185.81271,242.35733
180,184.829,241.99152
181,182.44266,239.75172
182,143.67691,232.55046
183,141.80286,224.78613
184,126.87342,214.45294
185,126.66725,213.62231
186,125.87418,204.88182
187,113.54029,195.65988
188,112.69123,186.48764
189,98.586,178.75114
190,93.24242,173.71365
191,93.199974,173.66402
192,93.762634,168.88399
193,87.96558,164.61478
194,77.15864,159.60776
195,66.90735,155.50806
196,61.6324,152.29646
197,61.81472,152.85693
198,44.86931,148.45938
199,43.26566,146.70175
200,42.14956,145.88803
201,55.492477,145.91927
202,42.745735,145.62848
203,42.886093,145.5441
204,38.0529,145.27567
205,29.723534,144.15169
206,18.416277,144.34354
207,14.071212,144.84059
208,3.1806033,145.29196
209,2.9733644,145.26186
210,-4.0408235,146.3652
211,-9.336704,148.47862
212,-8.991826,150.22926
213,-13.475425,151.57274
214,-17.51087,154.307
215,-18.005646,154.31328
216,-37.647648,154.51419
