frame,pelvis x,pelvis y
0,923.43475,285.67395
1,922.7803,285.67294
2,924.83344,285.19003
3,927.86365,285.3164
4,931.7497,284.38943
5,931.521,284.34714
6,937.2417,282.89212
7,938.69525,282.1893
8,943.41565,281.93057
9,950.795,282.41595
10,954.4484,284.23737
11,954.50305,284.2855
12,951.24316,287.17444
13,957.56024,290.4243
14,956.156,292.24237
15,958.6608,293.42084
16,962.6029,292.9784
17,962.7108,292.9652
18,965.3124,293.37234
19,963.17377,294.82083
20,959.576,296.76855
21,951.04675,301.3753
22,957.1679,304.55484
23,957.7331,305.3616
24,970.52106,307.7924
25,969.5807,308.57498
26,965.32117,307.922
27,951.26733,306.71622
28,948.6971,304.9742
29,948.72644,304.9748
30,959.36273,302.2303
31,963.0818,303.9012
32,970.9136,308.23648
33,981.4203,310.65848
34,984.654,311.29968
35,984.7257,311.27457
36,993.0291,307.8191
37,1000.1623,307.52472
38,1013.8282,311.4821
39,1015.22095,318.1246
40,1021.1417,328.35162
41,1021.0544,328.4433
42,1030.0682,337.6366
43,1044.7883,344.12003
44,1063.6772,347.5175
45,1075.3419,352.2003
46,1085.9109,357.08673
47,1085.4957,357.15045
48,1097.5562,362.1093
49,1109.6191,371.49634
50,1124.1685,378.50522
51,1151.7339,382.12857
52,1169.1475,388.86462
53,1169.1228,388.84662
54,1177.8646,394.62497
55,1187.4849,397.06314
56,1184.2439,397.953
57,1179.9802,398.31067
58,1171.1945,396.91983
59,1171.1553,396.93616
60,1157.169,396.35107
61,1146.9612,394.12436
62,1139.9073,391.5162
63,1128.4951,388.9225
64,1133.6399,386.60358
65,1133.6078,386.56473
66,1134.588,385.77997
67,1133.4331,385.6655
68,1126.4868,385.86307
69,1116.6252,385.5902
70,1106.5521,385.78098
71,1106.4839,385.75198
72,1092.2156,385.52716
73,1079.871,384.29077
74,1070.4807,381.96814
75,1059.7241,378.55322
76,1052.21,375.24805
77,1052.1619,375.3122
78,1045.097,371.70013
79,1046.282,366.5767
80,1043.8518,363.16537
81,1033.1481,361.46066
82,1032.8186,358.20615
83,1032.7562,358.20932
84,1022.9129,355.45984
85,1005.4402,353.1695
86,1006.7671,350.76163
87,1014.4146,348.1586
88,1031.9956,349.09183
89,1034.448,349.07797
90,1032.8992,351.9029
91,1026.771,354.28653
92,1030.1116,353.4743
93,1040.4473,353.63242
94,1039.8943,358.4716
95,1039.984,358.4881
96,1044.1843,365.36
97,1044.8086,374.98972
98,1065.6302,379.35693
99,1072.8302,385.0784
100,1075.927,391.85992
101,1075.9558,391.78265
102,1081.749,397.9565
103,1095.0864,405.11075
104,1104.3636,413.9045
105,1125.6572,417.75357
106,1131.8202,423.44727
107,1131.5156,423.49817
108,1135.6165,429.3821
109,1142.7985,432.80313
110,1157.4269,433.65784
111,1154.9769,432.7473
112,1149.6023,430.96606
113,1149.5408,430.9674
114,1143.304,428.50552
115,1135.3176,423.3635
116,1131.4196,413.21277
117,1115.8512,402.04636
118,1110.99,387.68378
119,1110.8633,387.7331
120,1119.6895,378.36566
121,1122.8417,372.5995
122,1130.0852,370.5774
123,1123.512,368.79535
124,1111.8435,365.18668
125,1111.7782,365.18594
126,1105.9141,359.59622
127,1091.4128,350.12686
128,1080.9346,340.7378
129,1068.0747,327.90237
130,1053.3444,312.77142
131,1053.257,312.88278
132,1045.8801,297.7558
133,1042.6608,283.21548
134,1036.6787,267.5856
135,1031.7732,257.55585
136,1026.6525,250.74185
137,1026.6794,250.8236
138,1028.503,248.30359
139,1031.108,245.71689
140,1031.9407,241.26332
141,1035.7109,233.90619
142,1042.2291,225.54286
143,1039.7703,225.41936
144,1042.8411,211.8739
145,1046.9066,196.88385
146,1045.8998,179.34764
147,1060.51,165.89497
148,1071.6404,158.12112
149,1071.9242,158.04153
150,1094.9403,152.42755
151,1095.3047,143.4751
152,1098.6786,135.4536
153,1108.9329,127.89859
154,1119.4689,123.736374
155,1119.233,123.77702
156,1130.4724,119.84878
157,1118.1636,116.257256
158,1114.3444,112.578445
159,1114.5673,109.584946
160,1114.8799,106.25544
161,1115.0308,106.19235
162,1123.4883,104.72036
163,1128.0276,103.10837
164,1140.8701,104.63349
165,1164.4071,105.36085
166,1196.403,109.57013
167,1193.687,109.39271
168,1228.6216,113.561966
169,1236.0132,113.01293
170,1234.6759,112.418686
171,1226.0784,110.30116
172,1217.88,109.72115
173,1217.8224,109.71627
174,1203.0576,107.422874
175,1194.5709,105.06808
176,1185.4028,102.161606
177,1174.8673,100.99325
178,1167.4663,100.760704
179,1167.5135,100.75326
180,1168.1145,102.70118
181,1162.4858,105.52852
182,1156.597,108.109924
183,1155.2407,112.08703
184,1146.9419,116.42459
185,1147.0957,116.381676
186,1128.027,123.23787
187,1125.1246,127.48702
188,1100.9148,129.45325
189,1091.1571,130.92613
190,1081.2135,134.29205
191,1081.2163,134.28745
192,1065.0846,136.99982
193,1049.7648,139.98985
194,1017.2589,145.50679
195,1001.10547,150.93268
196,997.38214,157.92822
197,997.4318,158.06117
198,1004.2608,165.9659
199,995.0889,173.45984
200,995.8515,181.58888
201,994.6566,185.21681
202,985.0112,186.30183
203,987.6723,186.33669
204,971.5733,187.24583
205,964.9451,189.24321
206,954.50037,189.6299
207,938.8711,190.75006
208,927.2661,189.49
209,927.14294,189.4996
210,927.2554,188.63837
211,918.5274,187.46936
212,911.38995,185.04198
213,904.835,181.87434
214,891.22034,178.03468
215,891.3157,178.09311
216,882.47906,175.68477
