frame,ball_x,ball_y,ball_z
0,-1.0,-1.0,-1.0
1,-1.0,-1.0,-1.0
2,-1.0,-1.0,-1.0
3,-1.0,-1.0,-1.0
4,-1.0,-1.0,-1.0
5,-1.0,-1.0,-1.0
6,-1.0,-1.0,-1.0
7,-1.0,-1.0,-1.0
8,-1.0,-1.0,-1.0
9,-1.0,-1.0,-1.0
10,-1.0,-1.0,-1.0
11,-1.0,-1.0,-1.0
12,-1.0,-1.0,-1.0
13,-1.0,-1.0,-1.0
14,-1.0,-1.0,-1.0
15,-1.0,-1.0,-1.0
16,-1.0,-1.0,-1.0
17,-1.0,-1.0,-1.0
18,-1.0,-1.0,-1.0
19,-1.0,-1.0,-1.0
20,-1.0,-1.0,-1.0
21,-1.0,-1.0,-1.0
22,-1.0,-1.0,-1.0
23,-1.0,-1.0,-1.0
24,-1.0,-1.0,-1.0
25,-1.0,-1.0,-1.0
26,-1.0,-1.0,-1.0
27,-1.0,-1.0,-1.0
28,-1.0,-1.0,-1.0
29,-1.0,-1.0,-1.0
30,-1.0,-1.0,-1.0
31,-1.0,-1.0,-1.0
32,-1.0,-1.0,-1.0
33,-1.0,-1.0,-1.0
34,-1.0,-1.0,-1.0
35,-1.0,-1.0,-1.0
36,-1.0,-1.0,-1.0
37,-1.0,-1.0,-1.0
38,-1.0,-1.0,-1.0
39,-1.0,-1.0,-1.0
40,3.2241090417565896,10.762461625978986,1.7
41,2.9633037075402835,9.327806925623834,2.3115489106198583
42,2.805808336230856,8.461446291504867,2.6718550234195617
43,2.692284644533001,7.8369678912244565,2.9220587145499155
44,2.603293885329365,7.347441818595198,3.1083896032604303
45,2.529978634796476,6.944144588878684,3.2519030166110836
46,2.4675470876392636,6.600717132347998,3.3639799081132953
47,2.413112382883341,6.3012792191044005,3.4514678813069515
48,2.3648014181350465,6.035527167432986,3.5188026684136497
49,2.32133125705154,5.796403718861478,3.5690175626496083
50,2.2817864199418167,5.578872944022376,3.604275269313138
51,2.2454925535949757,5.3792253175464,3.6261707796155616
52,2.2119403725886304,5.194659329536366,3.635914933506197
53,2.1807375963795286,5.023017098034343,3.6344516097212263
54,2.1515773161077045,4.8626103591102545,3.6225359603618097
55,2.124216422634594,4.712101802431121,3.6007886945134833
56,2.0984604155084003,4.570421507444025,3.5697349762445842
57,2.0741523806926603,4.4367063113588285,3.52983298066991
58,2.051164766112963,4.310254567548388,3.481495148108308
59,2.029393086733932,4.190491518032512,3.425104012105493
60,2.00875100150983,4.07694221245225,3.361023803020155
61,1.98916640056975,3.969209984207398,3.2896086508203592
62,1.9705782652137316,3.8669591777218515,3.2112080100543
63,1.9529341409994436,3.7699012482368515,3.1261698284381803
64,1.936188111594829,3.677783616249729,3.0348419260746082
65,1.9202991892363634,3.590380813643534,2.9375720128618474
66,1.9052300542656349,3.5074875500490394,2.8347067306611233
67,1.89094608648791,3.4289133844798734,2.7265900587537626
68,1.8774146382233938,3.3544787264862594,2.613561366995715
69,1.8646045047009245,3.284011922862737,2.4959533445670856
70,1.8524855527307102,3.217347215027327,2.374089977362339
71,1.7387737653796984,4.347425097999493,3.030849974527103
72,1.6550668799323573,5.17931159015815,3.504734330444811
73,1.588678455079075,5.839085676554883,3.870728140777798
74,1.5335761481745491,6.386697316334417,4.164476865521455
75,1.4864110861520878,6.855427908670141,4.405758732443906
76,1.4451293701391177,7.265689283714651,4.606693364866741
77,1.4083801293672455,7.630906515628485,4.775241735337064
78,1.375227630387674,7.960379006870071,4.9169087856786735
79,1.3449973212548703,8.260810514827444,5.035654396480517
80,1.3171873521044648,8.537188468205295,5.134417423265997
81,1.2914147606151374,8.793318780703693,5.215434964370831
82,1.267381206160107,9.032166388076165,5.28044623815355
83,1.2448503084871512,9.256080458348583,5.330828042700601
84,1.223632173710182,9.466948173894714,5.367687911564169
85,1.2035725325452666,9.666302676615286,5.391930175289998
86,1.1845449277170517,9.855400710189626,5.404304138075776
87,1.1664449679281406,10.035279724640384,5.405440125867061
88,1.1491860115851378,10.206800771849,5.3958770944865595
89,1.132695856707207,10.37068140153967,5.376084203487149
90,1.1169141493154986,10.527521416936274,5.346477941115359
91,1.1017903120054318,10.677823460795791,5.307435850027659
92,1.0872818550522882,10.822009799791504,5.259307551229077
93,1.0733529745943762,10.960436255893713,5.202423535708363
94,1.0599733722133808,11.093403937485519,5.137102052066974
95,1.0471172511904672,11.221169214659126,5.063654337987404
96,1.0347624591357976,11.343952239840188,4.9823884034479695
97,1.0228897561770192,11.46194422059585,4.893611557801444
98,1.011482193733685,11.575313593430009,4.797631868403081
99,1.0005245921913668,11.6842112147045,4.694758736400284
100,0.9900031074360889,11.78877466845855,4.585302770300455
101,0.9799048769323913,11.889131783716588,4.469575127862177
102,0.9702177363349617,11.985403450827091,4.347886481748583
103,0.9609299978330041,12.077705824296007,4.220545745497457
104,0.9520302817068546,12.166151996792149,4.0878586753900015
105,0.9435073929922557,12.25085322486862,3.950126442355243
106,0.9353502357009575,12.331919781446135,3.80764424742179
107,0.927547757707304,12.409461503535042,3.660700035321085
108,0.9200889201386011,12.483588096436561,3.5095733441885337
109,0.9129626858623773,12.554409248157443,3.3545343151388076
110,0.906158022412312,12.622034600331803,3.1958428738315616
111,0.899663915410766,12.686573614826829,3.033748086869884
