Frame,Player,Pelvis x,Pelvis y,Pelvis z,Left Hip x,Left Hip y,Left Hip z,Right Hip x,Right Hip y,Right Hip z,Spine1 x,Spine1 y,Spine1 z,Left Knee x,Left Knee y,Left Knee z,Right Knee x,Right Knee y,Right Knee z,Spine2 x,Spine2 y,Spine2 z,Left Ankle x,Left Ankle y,Left Ankle z,Right Ankle x,Right Ankle y,Right Ankle z,Spine3 x,Spine3 y,Spine3 z,Left Foot x,Left Foot y,Left Foot z,Right Foot x,Right Foot y,Right Foot z,Neck x,Neck y,Neck z,Left Collar x,Left Collar y,Left Collar z,Right Collar x,Right Collar y,Right Collar z,Head x,Head y,Head z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Left Elbow x,Left Elbow y,Left Elbow z,Right Elbow x,Right Elbow y,Right Elbow z,Left wrist x,Left wrist y,Left wrist z,Right Wrist x,Right Wrist y,Right Wrist z,Left Index1 x,Left Index1 y,Left Index1 z,Right Index1 x,Right Index1 y,Right Index1 z
0,1,-0.47576994,0.30467787,-3.0875266,-0.3275723,-0.029341692,0.05231874,-0.1355825,0.003369491,-0.08917604,0.21208252,-0.018651884,0.0054183863,0.42249024,0.0060509793,-0.061773457,0.6773147,0.095844395,0.048550997,-0.01867807,-0.019191502,-0.03988324,0.06832584,0.1234658,-0.14908719,0.04984855,-0.14686733,0.19060057,0.022178112,-0.022853239,-0.029310271,-0.1549483,0.055240776,0.23138687,-0.17545818,-0.025908276,-0.25974348,-0.25997847,-0.033897914,-0.038490083,-0.09387777,-0.37073582,-0.14520207,-0.112400465,0.25821382,0.010122956,-0.08453015,0.006918168,0.020883454,0.004518529,-0.5533308,-0.78618526,-0.089503855,0.36790067,0.5292536,0.021346977,-1.4207302,0.40675586,-0.037815854,1.6097608,-0.4881724,-0.09815543,-0.16745768,0.1352738,-0.042366154,0.19772263,-0.16835602,-0.040753055,-0.065864444,-0.13940103,-0.074735336,0.057584736,0.14859776
1,1,-0.47410001,0.30754742,-3.0866183,-0.32938080000000003,-0.0279157495,0.05283016,-0.13462971,0.0055108263000000005,-0.088505158,0.210588045,-0.018889468,0.0047396675,0.43080564,0.00802707665,-0.062205668500000005,0.68283275,0.0980186175,0.047978391999999995,-0.018662675500000003,-0.020427696500000002,-0.03935229,0.0667939075,0.123807635,-0.14748327500000002,0.049583195,-0.146457775,0.189845545,0.0235476135,-0.023400083500000002,-0.029092513,-0.155663175,0.0556981955,0.2290781,-0.176026285,-0.0257726915,-0.258923365,-0.257625755,-0.034489229499999996,-0.038863085000000006,-0.092956327,-0.37136489,-0.143009955,-0.1120934575,0.25720496,0.00883578775,-0.085121565,0.00581335035,0.020579151,0.0062936780000000005,-0.5521729,-0.78782296,-0.0900791525,0.366646915,0.5313016749999999,0.026031887,-1.4093202,0.401331915,-0.0386423095,1.6028483,-0.48700635999999997,-0.09616081,-0.16667575,0.13430350000000002,-0.041581042,0.19676386,-0.167729135,-0.0421992445,-0.066010712,-0.13975164,-0.07617333800000001,0.0574321315,0.148965375
2,1,-0.47455807,0.31115745,-3.0857663000000004,-0.3263718,-0.025403447500000002,0.0528654985,-0.144421675,0.00598180945,-0.0866209455,0.210739235,-0.0211369785,0.00433073885,0.43636702000000005,0.0089040305,-0.062976483,0.69150585,0.0961957175,0.049343768499999996,-0.019468443000000002,-0.020992102,-0.038111072,0.0668403655,0.126110655,-0.14589932,0.051661342,-0.14767944,0.18995025,0.02560158,-0.024299612499999998,-0.02835764,-0.156713255,0.054474259,0.226927265,-0.177146925,-0.025040473,-0.25920157499999996,-0.253609985,-0.030162123,-0.0371515915,-0.092155527,-0.37218483,-0.13861932,-0.110872765,0.25660260999999995,0.00828418375,-0.08492034,0.00859237485,0.0212772115,0.0065322835000000004,-0.551032325,-0.78493458,-0.091669045,0.36926767,0.534359225,0.0295715665,-1.38529335,0.389709845,-0.0397157475,1.5703021,-0.479636835,-0.09224862249999999,-0.163419065,0.133454325,-0.035349006,0.191755685,-0.16729609,-0.045044765,-0.066832645,-0.14049261000000002,-0.07975896,0.057518195499999994,0.14990669499999998
3,1,0.47867681,-0.303123265,3.08799555,-0.31641742500000003,-0.023115082000000002,0.0500932095,-0.161049315,0.00730728715,-0.0844256175,0.212375845,-0.023037826499999997,0.00254761625,0.43890686,0.00801974425,-0.063896003,0.703721075,0.0915530725,0.051224675,-0.019615937,-0.0204864825,-0.037813107,0.064081103,0.12909387,-0.14265732,0.055826557,-0.14900252,0.190811975,0.025560964999999998,-0.025234226499999998,-0.0287242075,-0.15699346,0.0538944935,0.22387186999999997,-0.17967545000000001,-0.025412678,-0.259841325,-0.247646525,-0.0296258005,-0.038005263,-0.09067345,-0.36350260999999995,-0.14111942500000002,-0.10915854,0.248596455,0.016432388,-0.07731869499999999,0.00640382145,0.020960341,0.009763675999999999,-0.54379639,-0.77806395,-0.08812405749999999,0.36630891,0.5382668500000001,0.0319236805,-1.39285375,0.39038044,-0.039998957,1.5583543,-0.48066672499999996,-0.0908339675,-0.16147079,0.13250128500000002,-0.030154465,0.18759014000000002,-0.16688839500000002,-0.046103138,-0.067871943,-0.141787935,-0.081935125,0.0585943295,0.15169482499999998
4,1,0.4820237,-0.2916106,3.08877195,-0.30796636499999996,-0.020373558,0.044979942999999994,-0.16428564,0.0070744350000000004,-0.08583516999999999,0.210764855,-0.022383471,-0.00049736075,0.43532510999999996,0.00934099725,-0.0652639075,0.716848325,0.09010958499999999,0.051495042000000005,-0.0183733415,-0.020220112,-0.0378845825,0.0602038825,0.130877765,-0.13811594500000002,0.061119495,-0.15036165499999998,0.194764035,0.02615112,-0.025819802,-0.029428454,-0.155229565,0.05602861,0.219333545,-0.1824033,-0.023864453,-0.26139274,-0.24430098,-0.028760756499999998,-0.037900920000000005,-0.089819545,-0.35495268,-0.14155309500000002,-0.10734119,0.23660313,0.020286883999999998,-0.07074006,0.0044330184499999994,0.021391297,0.012731085999999999,-0.539913915,-0.7729469499999999,-0.0828923025,0.3568089,0.53949455,0.035766745,-1.4094348,0.3894801,-0.038189637,1.5725003499999999,-0.485475565,-0.097033045,-0.16338529499999999,0.1271714,-0.032817919,0.18942975,-0.16352782,-0.0429573015,-0.06681777550000001,-0.13930458,-0.08017217,0.0579562335,0.14981691
5,1,0.47372106999999997,-0.29619597,3.0881832,-0.30963010999999996,-0.0230011065,0.042208402,-0.16064621499999998,0.00395756765,-0.08804425199999999,0.209650675,-0.022354018,0.0003516695,0.42857448499999995,0.010787969,-0.0643085205,0.713073385,0.086853495,0.050702434500000004,-0.017883328,-0.0227010975,-0.03817535,0.0646423075,0.12629087,-0.13625332,0.06657112000000001,-0.1498271,0.197078745,0.0261735625,-0.0273316635,-0.030785159,-0.153748135,0.058843118,0.215391475,-0.18038515,-0.0222953225,-0.262286565,-0.24280153999999998,-0.0269675895,-0.046481064,-0.088720968,-0.35897431,-0.14210108999999999,-0.105404797,0.22947315499999998,0.020752171,-0.072456035,-0.0100155275,0.018745137,0.014831980000000002,-0.5522558,-0.7892018249999999,-0.081111558,0.346226855,0.544417385,0.044128351,-1.3859355500000001,0.3742957,-0.0400555385,1.6012467,-0.498980415,-0.103024525,-0.165289665,0.12330480499999999,-0.035830667,0.195573425,-0.169698875,-0.039402645,-0.0650980825,-0.136716535,-0.07960730199999999,0.057147503,0.15048989000000002
6,1,0.45807875,-0.30658967000000004,3.0877388000000003,-0.31440612,-0.029025768,0.045401107999999996,-0.163193635,0.004393195000000001,-0.086546792,0.21168461,-0.022898248500000003,0.0015630683499999998,0.447735505,0.00886539265,-0.0628715305,0.69860396,0.082985225,0.0507002425,-0.017004643,-0.024937818,-0.039106810500000005,0.063938358,0.12060839000000001,-0.136254125,0.0611636835,-0.14779847000000002,0.19161189499999998,0.0236868175,-0.028587086999999997,-0.032228232999999995,-0.154713785,0.059392799999999996,0.21445920000000002,-0.17637751499999998,-0.026032173999999998,-0.25998330000000003,-0.24340800499999998,-0.0216027045,-0.057897148999999995,-0.086668918,-0.356692315,-0.14830902499999998,-0.106421967,0.22497559499999997,0.024502117,-0.080247413,0.0089167035,0.01090840725,0.0199982705,-0.547672985,-0.804768525,-0.082591563,0.340361085,0.543961735,0.048446467,-1.3769628,0.37423383,-0.0441442985,1.6529133,-0.5210302,-0.10654725,-0.16766720499999999,0.12072950499999999,-0.0419119705,0.202906485,-0.17487909000000001,-0.0379247365,-0.064796005,-0.13776170999999998,-0.079003452,0.057095705,0.15446548
7,1,0.45441005,-0.308485275,3.0852784,-0.31720194999999995,-0.029841812500000002,0.049354498999999996,-0.168377845,0.0056786551,-0.08449778999999999,0.21453576000000002,-0.023178899000000003,-0.0017286339,0.46780620500000003,0.0074367279000000005,-0.0630627125,0.687123575,0.083512375,0.051494502,-0.0165246485,-0.0255237905,-0.039286416000000005,0.059838366000000004,0.120660485,-0.137691655,0.0584185235,-0.147429435,0.18950806999999997,0.024009362,-0.029576117,-0.03241588,-0.1567603,0.057528816999999996,0.217126545,-0.17660547,-0.028804924500000002,-0.26091955,-0.239990385,-0.0251892835,-0.058314160000000004,-0.084964445,-0.35426584,-0.14895595,-0.10833544,0.22581254499999998,0.023759487,-0.08018755799999999,-0.0107663125,0.009719135,0.02083477,-0.5427921099999999,-0.80790793,-0.086641408,0.34655911,0.5423575350000001,0.049887509999999996,-1.3702025,0.3752615,-0.042479145,1.66016265,-0.527238325,-0.10486677,-0.167199555,0.12193852499999999,-0.038513462,0.20309265999999998,-0.17834275,-0.038180898000000005,-0.06517434,-0.13861351500000002,-0.0797307925,0.057199898,0.155833535
8,1,0.44525323,-0.306766405,3.08473275,-0.31808245,-0.031999386000000005,0.0470058095,-0.16811499,0.00858923575,-0.08236556,0.212318175,-0.022782868,0.00065651665,0.47139761,0.00748921325,-0.06324221199999999,0.6999815149999999,0.08423699000000001,0.051742442,-0.0157027335,-0.0241433105,-0.0400570315,0.061666418,0.11872663,-0.139488175,0.060722155,-0.145337685,0.18890528,0.022420574999999998,-0.030173026999999998,-0.033170531,-0.156455595,0.057435969,0.220575805,-0.17952541,-0.029592696,-0.2598893,-0.24226301,-0.030647801000000002,-0.05406748,-0.08813422,-0.35523318000000004,-0.15271711999999998,-0.1096426,0.225875905,0.0278742345,-0.080317157,0.008076549575,0.011234737750000001,-0.0118535825,-0.545763625,-0.8053874050000001,-0.085198641,0.3434671,0.54789451,-0.032241240500000004,-1.3835217499999999,0.39649371499999997,-0.04761677,1.6668530499999998,-0.5338569,-0.107146185,-0.16776974,0.12728776,-0.0444041725,0.204273435,-0.17845377,-0.037923954,-0.0658935,-0.141314985,-0.0790294725,0.057791118,0.15772691
9,1,0.435348015,-0.310482295,3.08491085,-0.32301649,-0.037848163500000004,0.0444964335,-0.16582059999999998,0.011341333,-0.080736565,0.20952944499999998,-0.01989099,-0.002025743,0.487947975,0.00575220465,-0.064587317,0.740425645,0.085321795,0.051679775,-0.013685572,-0.022963214500000002,-0.0395741985,0.0613361615,0.11776554,-0.13689504,0.058917302000000005,-0.145060835,0.1878455,0.0208469385,-0.029286013,-0.032830952,-0.158604105,0.058115152,0.22092108,-0.18453533500000002,-0.0291591195,-0.25859631,-0.24837725500000002,-0.018389464,-0.0494438135,-0.090154495,-0.359304905,-0.14843885499999998,-0.110445705,0.23065054499999998,0.027999775,-0.089317724,-0.000658844075,0.010185147,0.0153780295,-0.5412093499999999,-0.79534611,-0.082237918,0.3455954,0.544682975,0.03439039,-1.40637545,0.391690505,-0.0483588,1.6868044,-0.534027625,-0.120761965,-0.17230961,0.11665291,-0.057675594,0.20926489,-0.16825714,-0.0345673675,-0.064862012,-0.14034921,-0.075395135,0.055977966500000004,0.156566185
