Frame,Player,Pelvis x,Pelvis y,Pelvis z,Left Hip x,Left Hip y,Left Hip z,Right Hip x,Right Hip y,Right Hip z,Spine1 x,Spine1 y,Spine1 z,Left Knee x,Left Knee y,Left Knee z,Right Knee x,Right Knee y,Right Knee z,Spine2 x,Spine2 y,Spine2 z,Left Ankle x,Left Ankle y,Left Ankle z,Right Ankle x,Right Ankle y,Right Ankle z,Spine3 x,Spine3 y,Spine3 z,Left Foot x,Left Foot y,Left Foot z,Right Foot x,Right Foot y,Right Foot z,Neck x,Neck y,Neck z,Left Collar x,Left Collar y,Left Collar z,Right Collar x,Right Collar y,Right Collar z,Head x,Head y,Head z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Left Elbow x,Left Elbow y,Left Elbow z,Right Elbow x,Right Elbow y,Right Elbow z,Left wrist x,Left wrist y,Left wrist z,Right Wrist x,Right Wrist y,Right Wrist z,Left Index1 x,Left Index1 y,Left Index1 z,Right Index1 x,Right Index1 y,Right Index1 z
0,2,-3.0129526,-0.00026889486,0.6789939,-0.44641772,-0.0019144356,0.077410646,-0.0033889294,-0.09529433,-0.10249527,0.24917606,0.074169405,0.06651859,0.24542458,-0.040112637,-0.023436412,0.5762618,0.06965314,0.03542057,0.029782502,0.03850961,0.07424307,0.16573964,0.17945512,-0.27731186,-0.061923906,-0.1827859,0.13522269,0.12992439,0.057019915,0.02519513,-0.17899884,0.018985935,0.37508067,-0.15337735,-0.06622526,-0.17785299,0.06826924,0.18389392,-0.009976276,-0.022798792,-0.14516446,0.25391915,-0.015868597,0.38378677,-0.09184018,-0.021452352,0.06278669,-0.14465564,0.17156994,-0.2057159,-0.6785568,0.03131086,0.55210495,0.7016548,0.40148574,-1.5835142,0.19745566,0.1417765,1.1621532,-0.1746154,-0.063512124,-0.18788834,0.11515148,-0.08635031,0.12981312,-0.1389905,-0.12951449,-0.041313004,-0.12662011,-0.09925685,0.044315983,0.097989224
1,2,-3.011112,0.00027681966,0.67905706,-0.43684664,0.0013362205,0.076772556,0.005835607,-0.09661116,-0.10490269,0.24433307,0.06990283,0.067433976,0.23065962,-0.03863304,-0.021842413,0.56933516,0.07128014,0.034329403,0.030935494,0.036855496,0.07549394,0.16260158,0.1809856,-0.27621567,-0.06632538,-0.18204893,0.13184619,0.12753974,0.055534407,0.025126912,-0.17488106,0.015435063,0.37295225,-0.15007517,-0.06749447,-0.17215969,0.06612948,0.18692972,-0.014165621,-0.023669511,-0.15439273,0.25797966,-0.017889997,0.39146554,-0.092361555,-0.02596675,0.06378657,-0.1493365,0.18431184,-0.20276621,-0.6612685,0.030186042,0.55424124,0.68220305,0.4297513,-1.5874225,0.17802708,0.14995675,1.1451339,-0.15887204,-0.058165252,-0.19488075,0.10636023,-0.08051932,0.13259658,-0.13344182,-0.13019672,-0.04115876,-0.12600616,-0.10010263,0.043838494,0.09611388
2,2,-2.9867458,0.0056892005,0.67376494,-0.47982836,0.0069308644,0.088338435,-0.01761317,-0.1015843,-0.10817919,0.2604695,0.066051416,0.059230633,0.25524843,-0.029024018,-0.025574274,0.58098084,0.07260485,0.03535602,0.025236625,0.022979593,0.07193628,0.16357106,0.18419816,-0.2843771,-0.06425634,-0.19229357,0.13899094,0.14277717,0.04498923,0.023778535,-0.18162064,0.022294387,0.38696197,-0.15904766,-0.058098726,-0.19477375,0.05497994,0.18636306,-0.013416744,-0.0141871525,-0.10047224,0.25849947,0.006725659,0.260099,-0.091309115,-0.050839823,0.060146276,-0.13434805,0.1651695,-0.1787631,-0.62136763,0.12196466,0.39917803,0.7205239,0.412824,-1.6699055,0.20533955,0.23785603,1.3975363,-0.21297252,-0.05125502,-0.20255572,0.13477245,-0.100600824,0.15559745,-0.15698071,-0.1314871,-0.042014975,-0.12962915,-0.10957584,0.046009257,0.10630233
3,2,-2.9829803,-0.003946511,0.6770352,-0.5015835,0.003668345,0.09142528,-0.031520404,-0.11042965,-0.12440811,0.2810841,0.06961301,0.06706478,0.27739844,-0.023262782,-0.031505972,0.6016889,0.07087839,0.042150103,0.03444663,0.03135036,0.07579318,0.17061427,0.17854919,-0.28496498,-0.064788744,-0.1908987,0.14230888,0.13007051,0.050396245,0.02774745,-0.18202665,0.03115224,0.38497674,-0.15226808,-0.05686906,-0.19585788,0.05200179,0.16781496,-0.002840974,-0.0322109,-0.11377829,0.25958106,0.0029095698,0.2909083,-0.08565835,-0.060262818,0.05024368,-0.122888,0.11703052,-0.20268379,-0.5604314,0.09050997,0.39414153,0.6538108,0.35361302,-1.7115291,0.24909835,0.20349503,1.3234061,-0.20652589,-0.07173336,-0.21039148,0.13296911,-0.099787906,0.15869363,-0.14745367,-0.11418907,-0.036430273,-0.12226933,-0.09907398,0.043064937,0.099399306
4,2,-2.9789455,0.007869809,0.65864867,-0.5463433,0.008904548,0.097504005,-0.038684234,-0.11244468,-0.13049608,0.30060568,0.06853718,0.06477735,0.3034909,-0.005210518,-0.0348444,0.6439405,0.07307175,0.042763937,0.028989526,0.026014326,0.07467186,0.17195956,0.1765445,-0.28594384,-0.07095704,-0.19124162,0.14147595,0.13069062,0.047070067,0.027830325,-0.18750942,0.03812386,0.3926922,-0.16011554,-0.050536286,-0.20684114,0.035410773,0.17111686,-0.002072204,-0.036745477,-0.09654906,0.2564918,0.013072626,0.24236342,-0.07468195,-0.0922546,0.051507503,-0.117950976,0.0776268,-0.19827679,-0.53091705,0.1262286,0.32729068,0.68090034,0.31821308,-1.7323965,0.27784845,0.23620212,1.3941828,-0.2307176,-0.0685326,-0.20847769,0.13542938,-0.10423459,0.16429195,-0.14343949,-0.113696195,-0.03788275,-0.12674035,-0.10298878,0.045082178,0.106853895
5,2,-2.9611773,0.008883365,0.6897429,-0.5363297,0.0033349,0.09399091,-0.06301508,-0.11405261,-0.16120093,0.30524278,0.06740252,0.06730296,0.29775605,-0.023043051,-0.034585267,0.65868944,0.07833188,0.038379762,0.031527337,0.031776313,0.073720396,0.15485856,0.17564264,-0.2788425,-0.071739614,-0.19519573,0.14732942,0.13601351,0.047862146,0.024165757,-0.18051949,0.04298587,0.38779613,-0.16003983,-0.047267232,-0.21239154,0.059266336,0.19347826,-0.025372216,-0.037969615,-0.094201796,0.26077178,0.020535678,0.22645609,-0.06046688,-0.06148565,0.060183663,-0.13799913,0.07462369,-0.20998041,-0.52950233,0.13852833,0.3033045,0.6915573,0.33178496,-1.7359965,0.27022174,0.23554319,1.368849,-0.22274654,-0.066421784,-0.20951295,0.1448783,-0.100042365,0.1621689,-0.15411948,-0.11178823,-0.03708507,-0.12699737,-0.10977215,0.04610282,0.10976767
6,2,-2.9449556,0.00945446,0.71565616,-0.5543609,-0.0014557386,0.10039812,-0.0866481,-0.1114344,-0.1706066,0.32818466,0.07154396,0.069627196,0.30167645,-0.02961553,-0.032943368,0.6740311,0.0791469,0.036253754,0.03340815,0.036865763,0.07093216,0.16807364,0.16180454,-0.28874502,-0.06642722,-0.18521506,0.15500806,0.13147466,0.050616242,0.0237325,-0.18813942,0.04741435,0.39948374,-0.16650616,-0.048962876,-0.22208498,0.06414373,0.18383466,-0.021788822,-0.043926787,-0.09219075,0.2573177,0.018444015,0.23779422,-0.06183417,-0.06760799,0.057677295,-0.13587892,0.0530116,-0.21646002,-0.5407689,0.12772106,0.3142184,0.6959791,0.30628175,-1.742731,0.3070387,0.23651029,1.342954,-0.22584407,-0.05552474,-0.20584576,0.16889434,-0.088314496,0.15919815,-0.1679913,-0.11546887,-0.039360993,-0.1341968,-0.11251301,0.04868817,0.115741305
7,2,-2.9448884,0.011235687,0.7085098,-0.56171703,0.002570408,0.098627515,-0.09744044,-0.10621673,-0.17434992,0.33502263,0.06951454,0.07059353,0.3043785,-0.027150134,-0.03371058,0.6894963,0.08325292,0.03514499,0.031950485,0.03412061,0.072638504,0.16727978,0.16429584,-0.2905256,-0.065198526,-0.18579558,0.15905522,0.1317625,0.050433,0.024039218,-0.19028789,0.043634407,0.4048182,-0.16863751,-0.04464538,-0.2294063,0.047930017,0.1947151,-0.026019512,-0.04326847,-0.09335759,0.25721672,0.017126944,0.23676668,-0.05872082,-0.07510878,0.06845787,-0.14322324,0.05480589,-0.21184643,-0.52881813,0.12047632,0.31733754,0.6876101,0.31594634,-1.7445407,0.2992208,0.22498527,1.3431576,-0.22335589,-0.053752404,-0.20742278,0.173728,-0.08880392,0.15947798,-0.17480211,-0.11527426,-0.040054455,-0.13446319,-0.111347266,0.04904402,0.115896806
8,2,-2.927101,0.021330938,0.75096613,-0.58025265,0.01040485,0.114963524,-0.103991315,-0.10194394,-0.18869127,0.34948006,0.06330043,0.072676286,0.3256333,-0.014926867,-0.04113283,0.66973734,0.0959955,0.041395847,0.028915936,0.030256143,0.06681276,0.15764116,0.15821044,-0.29212156,-0.07752814,-0.18483132,0.15628944,0.1329705,0.046439793,0.019632723,-0.18941814,0.046721954,0.4073036,-0.16555756,-0.03557069,-0.24150527,0.04038062,0.19687818,-0.0451266,-0.047409106,-0.096615076,0.22025175,0.018735545,0.20929879,-0.034015663,-0.060603656,0.07524717,-0.15719222,0.041210398,-0.21774897,-0.53307194,0.13515782,0.27694577,0.6586263,0.27852136,-1.6893686,0.29476523,0.22310483,1.365896,-0.21799321,-0.05237171,-0.20258714,0.19419248,-0.09395862,0.16981821,-0.1892665,-0.11657144,-0.04322741,-0.14088178,-0.11716728,0.04968486,0.12578197
9,2,-2.9060063,0.02518455,0.7690435,-0.5941289,0.022022324,0.10971118,-0.117891416,-0.09989982,-0.20318034,0.35539234,0.05386173,0.07601294,0.36091685,0.0045674574,-0.049807742,0.69328314,0.106935434,0.045355268,0.025933085,0.028354956,0.06469998,0.14802343,0.16872355,-0.28742692,-0.07470919,-0.19584939,0.16099957,0.13393937,0.042784993,0.017163215,-0.18664084,0.0510805,0.4003564,-0.16641547,-0.02537157,-0.25188014,0.0067332843,0.1990516,-0.05632167,-0.04214362,-0.10107618,0.20633882,0.030849352,0.18831262,-0.017196003,-0.07351379,0.08421494,-0.16498463,0.06533229,-0.2080661,-0.5148393,0.18464091,0.21751125,0.6319708,0.30264613,-1.7178924,0.26283324,0.28261134,1.3568556,-0.17930923,-0.0744923,-0.22105859,0.18635038,-0.076711126,0.18883127,-0.18928969,-0.106657386,-0.04096458,-0.13341558,-0.12732613,0.04757145,0.124202654
