frame,pelvis x,pelvis y
0,261.58624,321.97147
1,261.88498,321.95862
2,262.34302,322.2658
3,264.38455,322.17953
4,265.4132,322.3955
5,262.7303,321.7508
6,262.4434,321.7391
7,263.08087,322.29694
8,263.69388,322.67294
9,261.50916,322.87805
10,262.87552,322.6687
11,266.40695,322.38
12,263.67557,322.45752
13,267.0577,322.2789
14,266.7463,322.3033
15,266.80246,322.28854
16,260.60913,322.35205
17,261.88077,322.23596
18,262.38834,322.19388
19,261.9278,322.79092
20,265.47903,322.5786
21,262.236,322.43173
22,263.75183,322.13434
23,267.169,322.03488
24,267.16058,322.0502
25,266.00558,322.0298
26,265.25186,321.77524
27,263.3452,321.54364
28,263.75052,321.42676
29,262.40323,322.01443
30,262.6691,321.99512
31,262.72745,322.5058
32,265.90533,321.46317
33,263.6355,321.92474
34,258.24808,321.6003
35,259.60336,322.66226
36,258.91675,322.6511
37,262.908,321.8791
38,258.69498,321.67252
39,257.4305,321.32727
40,258.9274,321.636
41,254.85612,320.7314
42,254.27074,320.65155
43,252.75,320.43573
44,245.02321,317.92282
45,243.14983,314.2521
46,239.75157,309.90512
47,243.20326,305.97983
48,243.23164,305.9668
49,253.37898,301.8555
50,267.38034,295.98996
51,271.6503,289.31323
52,272.9789,284.88205
53,273.7206,283.09784
54,273.62296,283.1301
55,274.70007,282.59155
56,270.2125,282.10876
57,265.90503,282.3581
58,259.88892,281.7766
59,253.95628,280.6685
60,254.27884,280.61285
61,251.81741,279.5712
62,244.5662,278.91595
63,245.17613,277.57913
64,249.2606,276.24173
65,249.8001,277.29633
66,249.63257,277.26492
67,251.11597,276.86404
68,249.97809,276.399
69,241.77916,276.35526
70,231.81155,274.04688
71,222.63754,270.97488
72,222.71303,270.98456
73,211.1131,268.46735
74,199.58731,264.13943
75,207.68251,261.25073
76,212.7253,262.04373
77,210.58511,260.70157
78,210.68394,260.59998
79,211.9383,262.7032
80,213.31299,263.97467
81,211.29251,264.00882
82,198.23,261.186
83,186.42741,255.72646
84,186.70453,255.03595
85,180.70206,249.66168
86,158.98375,240.80632
87,147.7248,232.9951
88,133.7955,223.99695
89,127.026886,212.93198
90,126.55192,212.91881
91,113.61867,199.8987
92,105.01559,192.40184
93,96.69224,187.72417
94,89.34609,183.35411
95,81.95741,179.44153
96,81.62845,179.44502
97,74.218636,173.33366
98,71.09769,166.32819
99,66.31784,158.89856
100,70.17123,151.16394
101,41.671368,142.10844
102,41.4502,142.05966
103,29.321535,133.69385
104,10.716656,126.313156
105,-1.7192931,119.95378
106,-8.370486,116.21625
107,-15.489937,110.51165
108,-15.346016,110.999306
109,-7.4444766,107.645584
110,-6.41667,103.4641
111,-0.87802976,99.63609
112,-0.39357275,94.948296
113,-12.314637,89.73637
114,-12.142038,89.80966
115,-16.649494,85.30269
116,-30.757027,78.681244
117,-46.03611,72.91692
118,-45.62772,67.99823
119,-38.264553,63.839355
120,-38.19786,63.787304
121,-26.187584,59.667892
122,-32.01017,54.8051
123,-34.3967,51.924213
124,-37.815353,50.372875
125,-33.76122,50.329075
126,-37.700134,50.10823
127,-43.66855,49.247322
128,-38.84068,50.648727
129,-40.596157,50.724228
130,-41.953274,52.932434
131,-36.88129,56.23298
132,-36.71559,56.267933
133,-42.99376,58.562515
134,-41.361732,61.989433
135,-44.002865,65.26671
136,-47.090023,67.96045
137,-40.537533,70.47649
138,-40.724236,70.58834
139,-41.889614,71.255775
140,-42.374737,72.699036
141,-58.675194,77.07908
142,-62.724533,80.185356
143,-67.80305,85.78093
144,-68.00705,85.162506
145,-62.192436,91.14491
146,-49.185852,99.01805
147,-32.9105,107.79328
148,-29.042507,114.9883
149,-12.918429,124.1678
150,-12.996511,124.16893
151,-3.4956255,130.71849
152,-2.343645,134.71773
153,0.13540031,138.36197
154,-5.042535,139.68344
155,-6.5823703,142.59538
156,-6.794634,142.524
157,-11.733019,146.46365
158,-13.520984,149.81465
