frame,pelvis x,pelvis y
0,268.03046,290.75766
1,269.3503,290.03918
2,265.41913,290.4226
3,270.6493,290.74423
4,269.41803,290.7856
5,268.67953,290.24896
6,268.46872,290.40475
7,270.11722,291.32437
8,267.11227,290.6084
9,263.94025,290.6258
10,265.3747,290.93103
11,265.48605,290.86548
12,265.55017,290.92868
13,268.9106,290.66678
14,268.21198,290.01212
15,267.97684,289.99234
16,264.9143,291.18594
17,264.9836,291.31198
18,266.14734,291.23
19,267.17172,289.99246
20,266.07153,290.72034
21,267.47617,290.6075
22,268.4979,290.86978
23,268.27484,291.05695
24,264.87396,290.40158
25,266.148,290.96585
26,266.0586,291.15833
27,268.43628,290.19193
28,269.34232,291.13232
29,265.83368,291.1121
30,267.41794,290.1154
31,263.55988,289.59763
32,254.57419,289.60306
33,259.1222,288.88678
34,256.02167,287.65665
35,256.35065,287.67368
36,252.98422,286.31454
37,260.1533,284.47263
38,268.31558,283.10138
39,267.37424,283.37332
40,271.05698,283.45193
41,271.29617,283.4035
42,264.40598,283.5143
43,259.64795,284.03406
44,258.773,286.59583
45,261.30005,288.37064
46,257.50943,290.70084
47,257.5968,290.7229
48,249.06015,294.8823
49,243.00313,297.60553
50,235.53348,300.34738
51,237.40791,304.81497
52,240.27094,307.24982
53,237.198,307.16388
54,238.56342,306.9637
55,239.61179,307.66022
56,238.20361,307.78937
57,236.82793,306.79395
58,232.14578,305.36313
59,232.15369,305.45447
60,223.61191,305.3993
61,207.7137,305.32532
62,202.49547,304.5191
63,191.66501,302.46408
64,189.76843,300.33023
65,190.2111,300.32526
66,193.71495,299.26254
67,215.5844,301.90625
68,217.3656,300.75803
69,219.18207,300.43292
70,218.56064,300.81458
71,218.80971,300.76343
72,207.17001,303.86154
73,199.13193,306.6854
74,202.25052,308.1016
75,196.00217,308.45062
76,195.19101,307.42538
77,194.88007,307.33392
78,200.43175,306.60416
79,195.40367,306.92514
80,182.3885,306.22534
81,179.22118,300.3567
82,182.30286,293.4946
83,182.56227,293.5464
84,196.54112,284.66168
85,220.54523,274.8275
86,225.08699,264.67737
87,238.77808,251.81117
88,246.60037,238.80388
89,246.70448,238.82419
90,249.23015,226.65146
91,260.8656,219.08456
92,300.39722,211.83812
93,320.93808,205.28
94,333.5827,200.44522
95,333.6001,200.3578
96,337.40012,197.30974
97,343.7694,192.93602
98,346.37927,192.04433
99,346.47058,191.02185
100,348.30597,190.66728
101,348.28342,190.68785
102,336.9468,190.57465
103,326.918,190.1616
104,322.91815,189.13203
105,318.9269,189.93433
106,316.5157,192.08107
107,316.3752,192.11371
108,310.1142,193.97482
109,308.9771,197.86023
110,300.16638,200.47604
111,302.8201,200.82881
112,316.62283,203.5345
113,316.2966,203.52853
114,320.41534,204.52892
115,320.438,206.59819
116,315.68954,208.76443
117,309.1172,210.43222
118,297.98935,211.8549
119,297.9976,211.86087
120,289.2895,215.45695
121,280.59036,218.71843
