Frame,Player,Pelvis x,Pelvis y,Pelvis z,Left Hip x,Left Hip y,Left Hip z,Right Hip x,Right Hip y,Right Hip z,Spine1 x,Spine1 y,Spine1 z,Left Knee x,Left Knee y,Left Knee z,Right Knee x,Right Knee y,Right Knee z,Spine2 x,Spine2 y,Spine2 z,Left Ankle x,Left Ankle y,Left Ankle z,Right Ankle x,Right Ankle y,Right Ankle z,Spine3 x,Spine3 y,Spine3 z,Left Foot x,Left Foot y,Left Foot z,Right Foot x,Right Foot y,Right Foot z,Neck x,Neck y,Neck z,Left Collar x,Left Collar y,Left Collar z,Right Collar x,Right Collar y,Right Collar z,Head x,Head y,Head z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Left Elbow x,Left Elbow y,Left Elbow z,Right Elbow x,Right Elbow y,Right Elbow z,Left wrist x,Left wrist y,Left wrist z,Right Wrist x,Right Wrist y,Right Wrist z,Left Index1 x,Left Index1 y,Left Index1 z,Right Index1 x,Right Index1 y,Right Index1 z
0,1,-0.28082058,-0.29525033,3.0809143,-0.31519473,0.070513256,0.1088932,-0.42284495,-0.03384588,0.078456685,0.2485626,0.017790388,-0.025948357,1.1322666,-0.026852176,-0.10196378,0.6548499,-0.040619694,0.104838975,-0.03924457,-0.010733479,-0.023528103,0.020058263,0.24689567,-0.18376076,0.03889733,-0.2533885,0.16723421,0.10543707,-0.022458749,-0.008638879,-0.24753034,-0.0008298081,0.25233373,-0.19129191,0.01558633,-0.28917578,-0.2857015,-0.061038878,-0.02252816,-0.052921537,-0.21407045,0.021533674,-0.047633905,0.16215517,-0.08001473,-0.100879945,-0.0443968,0.018387547,0.13231893,-0.28303468,-0.47051442,0.20941122,0.14756891,0.45826316,0.28000465,-1.3695021,0.11252661,0.36143497,1.5722151,-0.09761583,0.029269738,-0.18842408,0.1221331,-0.03427533,0.21350092,-0.086992614,-0.11289062,-0.052330468,-0.0963024,-0.10258318,0.049733926,0.10677351
1,1,-0.28081394,-0.295346025,3.08081965,-0.314068095,0.07086962799999999,0.10903196,-0.424736325,-0.033869723500000004,0.0787026275,0.24922312,0.01779942,-0.0264774435,1.1281444999999999,-0.027099267,-0.101763225,0.6569053,-0.041195077,0.1051201725,-0.039085308,-0.01074422725,-0.023556404000000003,0.0200782415,0.246650685,-0.18364762499999998,0.039087995,-0.25318529,0.16768749,0.105420265,-0.0225888705,-0.008737024,-0.24701695,-0.0005708366499999999,0.252368675,-0.191392695,0.0157659885,-0.28943269,-0.28511795,-0.060350038999999994,-0.022173668,-0.052881029999999996,-0.214551245,0.022018338499999998,-0.0471760875,0.161858365,-0.079685545,-0.1004066095,-0.044486093000000004,0.018572337,0.13187253,-0.283578825,-0.46884787,0.210565455,0.14767448,0.45926168,0.280345365,-1.36826285,0.11157392499999999,0.362786285,1.5728407,-0.09750072500000001,0.0299282295,-0.188433275,0.122461055,-0.033887445,0.21371212,-0.087343514,-0.11299957999999999,-0.0522960665,-0.096192957,-0.10261893799999999,0.049631897999999994,0.10675604999999999
2,1,-0.28198785,-0.30171201000000003,3.0789636500000004,-0.30156688,0.072645485,0.113371535,-0.41495335,-0.0340255585,0.077164053,0.24178955,0.0163187765,-0.030009675,1.1192936,-0.0292734215,-0.09959542499999999,0.657753975,-0.0432426435,0.103949585,-0.040973317999999995,-0.01361890275,-0.0254514535,0.0185790825,0.2467649,-0.18611961500000002,0.038217299999999996,-0.252545,0.16564638999999998,0.10164983,-0.028019497,-0.009401696000000001,-0.24426961000000003,-0.0011631595000000002,0.25444933999999997,-0.19251868,0.0141016835,-0.28576115999999996,-0.28584365,-0.055618825,-0.016977291,-0.0643775065,-0.25385792,0.028418958,-0.053502491,0.177019865,-0.08263894299999999,-0.091007337,-0.0417783355,0.021756077,0.09822636,-0.32955806,-0.43169856,0.21493984,0.156215265,0.46589052,0.257994025,-1.3376608,0.113637825,0.36102999999999996,1.5835998999999998,-0.09812812500000001,0.0394960555,-0.187974835,0.12054034,-0.05066738,0.214424125,-0.07502418699999999,-0.112455695,-0.051934091,-0.095286307,-0.0977536705,0.0497303925,0.1048991125
3,1,-0.28392525999999996,-0.3100815,3.08097505,-0.30186377,0.07531621999999999,0.1147899875,-0.398683515,-0.0318214035,0.071355823,0.24177094500000001,0.014551591,-0.030371997499999998,1.1019896,-0.019238656,-0.100481535,0.65438649,-0.0385061705,0.10361097699999999,-0.0535218525,-0.014650251,-0.022858605,0.015883707,0.24545342,-0.18544467,0.0315426655,-0.250024095,0.16077654,0.08929229,-0.0302305265,-0.009196886500000001,-0.23746908500000002,0.00323347015,0.25243033,-0.186231775,0.0114183245,-0.278397395,-0.29839898,-0.04862161,-0.018335302,-0.088422687,-0.32367259000000004,0.0448418595,-0.073713536,0.225485135,-0.08483674799999999,-0.07763204,-0.0427370625,0.01471287915,0.056661249999999996,-0.40436297499999996,-0.4014279,0.17959127,0.193881905,0.445474685,0.221916205,-1.30016975,0.11895766499999999,0.31723031,1.5074638,-0.097847448,0.034381791,-0.18675384,0.10655984,-0.0588113475,0.20843134,-0.0578625235,-0.10061942,-0.050369660999999996,-0.089888155,-0.09064775750000001,0.04787476,0.0987142825
4,1,-0.272783875,-0.30140805,3.09335175,-0.29914896999999996,0.08213284,0.1199527275,-0.37246403,-0.0160262385,0.072816535,0.243831145,-0.01055263135,-0.0261002605,1.10823185,0.00435089855,-0.103596855,0.632206885,-0.020573627,0.099057637,-0.0668454325,-0.023628546,-0.0221349275,0.0268663945,0.24138446,-0.18851210000000002,0.0301950775,-0.243844755,0.15351405,0.07299857,-0.035660513500000005,-0.009063884000000001,-0.23485950500000002,0.00334029825,0.24415576,-0.18083652,0.009753802,-0.273336295,-0.29912569,-0.0278492285,-0.039396781500000005,-0.1114870195,-0.39371662,0.060040958,-0.09733652000000001,0.27618376499999997,-0.086536795,-0.0593636075,-0.035570661,0.00350499315,-0.04422911,-0.46736274999999994,-0.3632004,0.14991323,0.251532975,0.428349735,0.15899486000000002,-1.22533525,0.12385725,0.29378647999999996,1.4663963999999998,-0.103950508,0.032420396,-0.18153977999999998,0.10867336,-0.0608663575,0.20577583500000002,-0.0621981385,-0.08763197,-0.0505782345,-0.08545201,-0.08156444500000001,0.0461382105,0.09733849
5,1,-0.24760875499999999,-0.29718351,3.0980389500000003,-0.2683181,0.086183155,0.13526954,-0.35603128500000003,-0.008030065,0.077881965,0.23057017,-0.00826721585,-0.024088708,1.1276760000000001,-0.0046842175500000005,-0.100483585,0.61853552,-0.015077107499999999,0.09633143,-0.07881429000000001,-0.036325504999999994,-0.018980551249999998,0.044544202500000005,0.24013389000000002,-0.19513292,0.033645452,-0.24172461,0.147420565,0.057964672999999994,-0.0441023745,-0.0053585847,-0.23501991500000002,-0.00312985615,0.23713424,-0.174825675,0.0067178465,-0.26866471000000003,-0.292237,0.019570947499999998,-0.054701764,-0.1354227025,-0.45597271500000003,0.07756616,-0.12180213000000001,0.317444465,-0.08672164,-0.039559375499999994,-0.01964316,-0.003039047,-0.0702305,-0.5157544000000001,-0.30072390000000004,0.09835469,0.30860317,0.41545123,0.06542331700000001,-1.08266505,0.1240547,0.23786232,1.4034033,-0.12275206500000001,0.035758106,-0.17275144,0.10028951,-0.06616121350000001,0.19754537,-0.0597698435,-0.078091015,-0.050840646,-0.08230660000000001,-0.06996569750000001,0.044932386,0.0979563725
6,1,-0.23543172,-0.301888345,3.0929481,-0.25194145,0.08310593499999999,0.145664835,-0.35840945,-0.013588129000000001,0.079519685,0.22285452,-0.00904639875,-0.024245214,1.13925165,-0.009285370000000001,-0.095867355,0.61898312,-0.0215340665,0.098390782,-0.08680544500000001,-0.038998256499999995,-0.012141488499999999,0.053925034,0.2401256,-0.19682443,0.034362615,-0.243062145,0.14513492,0.0500135815,-0.04447385500000001,-0.00070946765,-0.23555149,-0.00444928415,0.233039275,-0.166526025,0.0042481425,-0.26382096499999996,-0.295451805,0.0294961145,-0.055476436500000004,-0.14843118,-0.483962015,0.09032234,-0.135454245,0.34314255000000005,-0.083794055,-0.034214856,-0.015330991,-0.0031373139,-0.10145591500000001,-0.53425345,-0.27956945,0.0400198215,0.33609782,0.39300883,0.022182775000000002,-0.9976486999999999,0.117829565,0.16833331,1.2996357500000002,-0.13229166,0.030472370999999998,-0.16832438,0.07856542999999999,-0.061138805000000004,0.18607585,-0.0484165185,-0.070539295,-0.0497010575,-0.078511795,-0.0647897425,0.04337232,0.095308825
7,1,-0.21195028999999999,-0.30901797,3.0934193,-0.26086727,0.0655063225,0.14390198999999998,-0.33565193,0.0085658826,0.075034507,0.224417875,-0.00625173095,-0.0272253075,1.14150945,-0.0118562115,-0.09537825750000001,0.6130037,-0.0140585489,0.095906397,-0.089751573,-0.037139313,-0.01253060275,0.042584317999999996,0.232547435,-0.18783059,0.025500157,-0.23513193999999998,0.13567157,0.0370250105,-0.0438237955,-0.000694429,-0.226808095,0.006553405500000001,0.22939168,-0.16337961,-0.008929605,-0.258490635,-0.283506005,0.039188549,-0.05625200650000001,-0.16333029999999998,-0.490135865,0.083701835,-0.145920685,0.34818387500000003,-0.0628818525,-0.036333743,-0.0161957945,-0.00210712575,-0.162889995,-0.55985927,-0.26661451,-0.049379678499999996,0.356135425,0.40767576,-0.102254753,-1.01370065,0.20826888500000001,-0.094190179,1.287581,-0.21087328500000002,-0.021478046,-0.16217737,0.092193155,-0.0844384665,0.17732689499999998,-0.059793305000000005,-0.057773865,-0.0484912935,-0.08395155,-0.052719109,0.044000302000000005,0.1019610225
8,1,-0.117875789,-0.31256892000000003,3.1017544,-0.24493587499999997,0.0561747425,0.13768433,-0.33774803499999995,-0.0031961464500000003,0.059958531999999995,0.22802874,-0.00702701645,-0.026625385,1.10581065,-0.0273134905,-0.0886069625,0.61655548,-0.0083561174,0.092641668,-0.095024541,-0.0263759735,-0.0159907015,0.0196922125,0.231005675,-0.18222809499999998,0.0105454115,-0.23296367,0.13114167,0.024216622,-0.0405228455,-0.00303922805,-0.212525195,-0.006013575,0.23733452,-0.16118601999999999,0.007473565749999999,-0.26238717,-0.29863235,0.049198625999999995,-0.059913876500000005,-0.19258943,-0.48481265,0.092535775,-0.16044183,0.34434270499999997,-0.058683650500000004,-0.069242438,0.00908488105,-0.00357705405,-0.27661474,-0.58126354,-0.20675493500000003,-0.07022321200000001,0.338910665,0.38843085,-0.24426463,-1.0515682499999999,0.352615205,-0.033304032000000004,1.20569415,-0.26956637,0.0101649795,-0.155503105,0.11440602,-0.102468765,0.16553911500000001,-0.0613044965,-0.0448593375,-0.0460678635,-0.089701068,-0.039391444,0.0449696635,0.10685783
9,1,-0.070017464,-0.305848985,3.10721005,-0.20194327,0.06356818,0.14590094999999997,-0.350127355,0.01252821385,0.060344379999999996,0.23160887,-0.008107608249999999,-0.034302954999999996,1.00878617,-0.0579774015,-0.0677261515,0.606444625,0.0136493375,0.083876583,-0.096322978,-0.026592305,-0.011343837249999999,0.0227361295,0.23692966,-0.197574485,0.0129799565,-0.23335596,0.13704418499999999,0.024916822499999998,-0.044255103500000004,0.00316794055,-0.19856615,-0.013615562500000001,0.251257445,-0.156481695,0.00442220845,-0.26110069999999996,-0.321441635,0.0664642625,-0.055673086000000004,-0.21002945,-0.489722265,0.127045755,-0.16241978,0.32327483,-0.0599106195,-0.09331768800000001,-0.01172914405,-0.0069596277,-0.356497215,-0.580344945,-0.109169265,-0.08168404500000001,0.272819015,0.37324744499999996,-0.316150455,-0.94723605,0.36713517500000004,-0.084645848,1.0637449,-0.24111907,0.0522205935,-0.156392425,0.14063152,-0.09938383,0.161978865,-0.0645977365,-0.0528243875,-0.0456747895,-0.0925129355,-0.036872803,0.045768806499999995,0.105040467
