Frame,Player,Pelvis x,Pelvis y,Pelvis z,Left Hip x,Left Hip y,Left Hip z,Right Hip x,Right Hip y,Right Hip z,Spine1 x,Spine1 y,Spine1 z,Left Knee x,Left Knee y,Left Knee z,Right Knee x,Right Knee y,Right Knee z,Spine2 x,Spine2 y,Spine2 z,Left Ankle x,Left Ankle y,Left Ankle z,Right Ankle x,Right Ankle y,Right Ankle z,Spine3 x,Spine3 y,Spine3 z,Left Foot x,Left Foot y,Left Foot z,Right Foot x,Right Foot y,Right Foot z,Neck x,Neck y,Neck z,Left Collar x,Left Collar y,Left Collar z,Right Collar x,Right Collar y,Right Collar z,Head x,Head y,Head z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Left Elbow x,Left Elbow y,Left Elbow z,Right Elbow x,Right Elbow y,Right Elbow z,Left wrist x,Left wrist y,Left wrist z,Right Wrist x,Right Wrist y,Right Wrist z,Left Index1 x,Left Index1 y,Left Index1 z,Right Index1 x,Right Index1 y,Right Index1 z
0,1,-0.71304077,-0.2558406,2.9849586,-0.45314938,0.042905007,0.14079869,-0.42573893,-0.043907817,0.035335183,0.27737102,0.009842556,-0.025255853,1.3078321,-0.035697192,-0.119680405,0.65746874,-0.034149654,0.12012145,-0.07377967,-0.007819439,-0.04064355,0.030878736,0.24185804,-0.21784514,0.049982093,-0.23515108,0.13114749,0.08322697,-0.028515395,-0.015701897,-0.24064323,-0.046567477,0.27790073,-0.21392368,-0.034306213,-0.24905798,-0.27433434,-0.14149664,-0.02439593,-0.07347424,-0.24478588,0.018265095,-0.13216811,0.25873187,-0.12184503,-0.09336666,-0.08607218,0.003159199,0.044588547,-0.25570866,-0.46397322,-0.045665905,0.3240162,0.3519779,0.09964502,-0.92488134,0.09302365,0.120665014,1.1063731,-0.11227903,0.00656379,-0.15972397,0.014890902,-0.036152463,0.16556293,-0.0053242333,-0.09434762,-0.044030156,-0.08662092,-0.07263091,0.047211815,0.086268045
1,1,-0.71353793,-0.2512567,2.9896407,-0.46764383,0.044962946,0.13623232,-0.4212122,-0.04700082,0.027679153,0.27920595,0.011835924,-0.022586774,1.3216295,-0.027700696,-0.1247168,0.69409376,-0.03073932,0.12153826,-0.075536035,-0.000810003,-0.037805602,0.01817611,0.24872968,-0.21037361,0.037418127,-0.24063677,0.12796493,0.08148965,-0.023357393,-0.014257223,-0.23383178,-0.04366797,0.269262,-0.20948197,-0.032844465,-0.24323913,-0.2864158,-0.13644575,-0.019308234,-0.077431805,-0.22968405,0.026403045,-0.12645178,0.25617105,-0.11453272,-0.08859424,-0.08393035,0.0054927105,0.04349854,-0.23432016,-0.42323858,-0.032248653,0.30552712,0.33171436,0.09898668,-1.0040318,0.10743175,0.12733646,1.0946409,-0.09330447,-0.0022874214,-0.16798346,0.012266068,-0.042002946,0.1684245,0.006061418,-0.090317905,-0.042006847,-0.08165204,-0.06925705,0.044233717,0.079349324
2,1,-0.6943152,-0.2280772,2.9888537,-0.49958047,0.016989537,0.09981192,-0.46528637,-0.04258195,0.013283495,0.2796618,0.027602887,-0.01335456,1.3941308,-0.06426242,-0.13395995,0.7754816,-0.020728607,0.1383053,-0.07357179,0.006400926,-0.021847581,0.0058701336,0.2346937,-0.19969875,0.035114244,-0.23411436,0.14187324,0.086394556,-0.009520914,-0.0089551825,-0.25076652,-0.037329357,0.27886716,-0.23526065,-0.016564539,-0.2679816,-0.26997715,-0.074979104,-0.01880001,-0.08882216,-0.18912102,0.0646923,-0.12526402,0.23596045,-0.10605842,-0.091539875,-0.057993338,-0.015569773,0.03708365,-0.22271575,-0.38408422,-0.047773927,0.3319511,0.3281435,0.13001166,-1.0081991,0.097302824,0.10324733,1.0926352,-0.11921974,0.023344917,-0.15313825,0.00094477896,-0.016049795,0.14809671,0.003899547,-0.0998521,-0.042702537,-0.08780998,-0.07699219,0.047978017,0.088678114
3,1,-0.6940211,-0.25589794,2.9837124,-0.45349857,0.041723166,0.09929867,-0.43550143,-0.045359425,0.0031607333,0.27135232,0.025150476,-0.016011955,1.3597388,-0.052897222,-0.13471283,0.7298842,-0.018672403,0.1301595,-0.07318066,0.0013071751,-0.016143039,-0.0036366563,0.24633679,-0.1959219,0.04362854,-0.24223296,0.15007958,0.08193903,-0.012825171,-0.0062236646,-0.242184,-0.03650958,0.27307937,-0.23090349,-0.012745311,-0.27306765,-0.2902909,-0.07371087,-0.024150267,-0.09798,-0.2262723,0.087993085,-0.13239814,0.26118806,-0.10989225,-0.11790922,-0.06634678,-0.016047928,0.00702137,-0.23343553,-0.34130841,-0.065651,0.3292589,0.32538313,0.107761204,-0.9479106,0.08270022,0.076649964,1.0470667,-0.11851704,0.028681546,-0.15629542,0.004237551,-0.021741856,0.1488196,0.0002457373,-0.09560209,-0.040957265,-0.08183654,-0.07041672,0.047111113,0.08274187
4,1,-0.6971182,-0.2542532,2.9831111,-0.45270082,0.04272739,0.099853955,-0.43335712,-0.04652003,0.0022568852,0.27062085,0.025605006,-0.016116746,1.3576609,-0.052669957,-0.13468394,0.72687936,-0.018028405,0.13031767,-0.07312799,0.002159643,-0.016080838,-0.0035379662,0.24778719,-0.19683187,0.043439284,-0.2435027,0.15119205,0.08160064,-0.011949286,-0.0063577387,-0.24290779,-0.036914144,0.2733026,-0.23007257,-0.012017105,-0.27432698,-0.294263,-0.07475774,-0.026863221,-0.0983805,-0.22482152,0.08910097,-0.13141738,0.25977045,-0.10816942,-0.12163747,-0.068544984,-0.017388517,0.0107112685,-0.23024718,-0.34065968,-0.066426165,0.32082513,0.32098538,0.11147063,-0.9543518,0.07980521,0.069398336,1.0244404,-0.11247837,0.02595774,-0.15762818,0.0033205443,-0.02194889,0.14846851,0.0018465249,-0.09425419,-0.04044556,-0.08076204,-0.07013323,0.04670374,0.081578515
5,1,-0.550967,-0.23075812,3.010654,-0.4476183,0.03517967,0.0787531,-0.4324862,-0.03679562,0.015566826,0.25719255,0.033275884,-0.02250026,1.3452508,-0.047539856,-0.13616094,0.73849165,-0.021725673,0.13014702,-0.090005696,0.009271644,-0.014121901,-0.002571669,0.25336707,-0.18998292,0.061265737,-0.24616963,0.16108131,0.07770301,-0.0065692076,-0.007093197,-0.23593025,-0.03915937,0.26998883,-0.23596221,-0.007309937,-0.27737114,-0.30997276,-0.06684984,-0.01619682,-0.10761655,-0.20594092,0.07975323,-0.13914561,0.26145104,-0.08204534,-0.10315609,-0.06508048,-0.012249098,0.0118000405,-0.20828603,-0.32648623,-0.07123993,0.33639312,0.33523563,0.06942182,-0.99343157,0.100168906,0.020332597,1.0075787,-0.12597266,-0.0029535044,-0.16351128,0.004915004,-0.045942567,0.15015431,0.002553181,-0.08464672,-0.041289017,-0.081660844,-0.059721973,0.04592686,0.08080066
6,1,-0.5244449,-0.26809758,3.0024283,-0.45593032,0.036016837,0.058623325,-0.4441721,-0.026509304,0.027593186,0.26476997,0.034496434,-0.020093378,1.3365935,-0.032528188,-0.13415636,0.7429384,-0.017144091,0.12916145,-0.08997729,0.014668916,-0.0013219889,-0.015517422,0.26408887,-0.18322583,0.05532375,-0.2482861,0.15304999,0.080508895,-0.0013938837,-0.0016860638,-0.23034821,-0.042271554,0.2680128,-0.22288969,-0.015307631,-0.26597053,-0.29009554,-0.0782539,-0.009763868,-0.120390736,-0.21518646,0.12657121,-0.14858164,0.29162186,-0.09057024,-0.10066151,-0.07619887,-0.021021284,0.0182933,-0.20698717,-0.30763677,-0.11661789,0.34522912,0.31743008,0.11285283,-1.1639178,0.13121869,-0.052664448,0.884707,-0.13497736,-0.01989167,-0.17815347,0.029697036,-0.039099418,0.14480567,-0.016962748,-0.07973164,-0.040637866,-0.084501505,-0.062161773,0.045258112,0.07767958
7,1,-0.44879162,-0.25578892,3.0044508,-0.42032808,0.032336324,0.06165868,-0.39827532,-0.03264539,0.030351482,0.23686281,0.028051376,-0.016851494,1.3345618,-0.03512912,-0.12694299,0.7129781,-0.018101377,0.11914748,-0.10575204,0.008993484,-0.0041359253,0.0054191737,0.2646759,-0.1948752,0.070606194,-0.25081018,0.16030997,0.06593992,-0.008533117,0.0023295912,-0.23955011,-0.046296135,0.2723276,-0.22920872,-0.01109759,-0.27026218,-0.33193997,-0.08266053,-0.0027063687,-0.1530511,-0.29778877,0.14475253,-0.17065644,0.3591423,-0.115096614,-0.10864287,-0.06540027,0.0002166414,-0.042908706,-0.28349414,-0.23482013,-0.0989075,0.37262806,0.3007205,0.06376312,-1.1654053,0.1599608,-0.004882253,0.90907025,-0.122280136,-0.015584401,-0.1849375,0.0389293,-0.02602621,0.15508562,-0.021559408,-0.068412066,-0.039412282,-0.07837229,-0.053745486,0.0473044,0.074974865
8,1,-0.44095525,-0.24008878,2.9943323,-0.38082546,0.027373817,0.030042289,-0.36282927,-0.044425964,0.015019891,0.22182783,0.04070565,0.005238349,1.3165485,-0.035077512,-0.11848719,0.661719,-0.020805154,0.113961086,-0.11255583,0.024071464,0.013925183,0.024153728,0.2609939,-0.20294793,0.07851147,-0.26043507,0.16534658,0.05554566,0.008543129,0.008245505,-0.22920528,-0.05017444,0.27254334,-0.20894709,0.0104595935,-0.26162705,-0.35310867,-0.05102294,-0.013704939,-0.1890656,-0.32491246,0.18022805,-0.18350022,0.42983198,-0.111181,-0.08766994,-0.052278083,-0.035632893,-0.15509215,-0.31306145,-0.17731734,-0.16280176,0.4008251,0.23470609,-0.121408686,-0.9453059,0.18065523,-0.11788227,0.7202609,-0.13221905,-0.035460327,-0.17261292,0.044469606,-0.0050941613,0.15202583,-0.041731063,-0.055915598,-0.036307886,-0.07467353,-0.058195435,0.046738192,0.07836517
9,1,-0.3817686,-0.26326823,3.0108876,-0.36152053,0.060806144,0.02514741,-0.3447144,-0.041173175,0.010727002,0.23318739,0.016236538,0.015739422,1.3362787,0.014458333,-0.1392673,0.6816328,-0.03780312,0.10580895,-0.12426201,0.014987599,0.008594479,0.021485033,0.26016596,-0.19458503,0.07968617,-0.24836208,0.14020702,0.027361881,-0.0019092992,0.011261045,-0.21561524,-0.04028362,0.25495404,-0.20372148,-0.016105212,-0.23126517,-0.35589883,-0.11427293,-0.008419461,-0.21318187,-0.40815857,0.16600725,-0.21963486,0.5276455,-0.13341571,-0.0957041,-0.057570443,-0.008060444,-0.26887077,-0.39611828,-0.14385785,-0.21460256,0.4895687,0.2419838,-0.26122826,-1.0140393,0.36689407,-0.13287638,0.7907805,-0.20401314,-0.0037756416,-0.16997786,0.10703012,0.004888779,0.15263163,-0.079659484,-0.05236827,-0.03818786,-0.08309297,-0.039874323,0.051600877,0.08116868
