frame 0
pose 0
810.4683 625.2678 0.4303209
805.20197 620.0014 0.54061574
815.73474 617.3682 0.54414004
799.93555 625.2678 0.8985841
823.63434 622.63464 0.9212845
789.4028 654.233 0.9033229
834.1671 651.5998 0.91085863
789.4028 688.46454 0.9051017
863.13226 677.93176 0.92504156
813.10156 688.46454 0.4110494
860.4991 667.399 0.82018363
799.93555 733.22894 0.7865671
828.9007 733.22894 0.7627488
807.83514 788.5261 0.90246934
831.53394 791.1593 0.9158083
807.83514 835.92365 0.8957277
823.63434 841.19006 0.90003544
pose 1
949.14984 419.2453 0.9275371
953.36945 415.02582 0.9656395
947.0401 415.02582 0.9093031
961.8084 412.91608 0.95164895
942.8206 417.13556 0.86271214
976.5766 429.79407 0.8909619
942.8206 440.34277 0.9382832
999.7839 440.34277 0.94428724
932.2719 457.22076 0.9185502
978.68634 461.44025 0.9331129
923.83295 474.09875 0.9066331
987.1253 488.86694 0.826912
966.0279 493.0865 0.8150117
978.68634 541.61066 0.8940304
968.13763 545.83014 0.8522602
974.46686 598.57385 0.83518106
987.1253 577.4763 0.8893336
pose 2
268.67776 557.06885 0.5821712
269.60422 551.51013 0.7094237
267.7513 551.51013 0.7365081
261.2661 554.2895 0.3302881
258.48672 552.4366 0.6511906
252.92798 580.23035 0.4486578
243.66339 584.8626 0.5831834
264.97192 607.0976 0.53937334
248.29568 622.8474 0.42855394
283.5011 620.06805 0.46797574
282.57465 620.9945 0.34241113
259.8764 633.5017 0.121910416
245.05307 633.5017 0.07706998
289.9863 625.6268 0.06768139
289.9863 627.4797 0.04237767
279.79526 628.4061 0.15556969
269.141 633.5017 0.051758688
pose 3
1660.7402 309.3982 0.52748334
1672.4164 303.56012 0.4970542
1656.3617 299.18158 0.60028255
1688.4711 307.93866 0.352258
1644.6855 299.18158 0.32220235
1692.8496 344.42657 0.0872074
1624.2523 348.80518 0.16175632
1676.7949 332.7505 0.11611662
1624.2523 410.10492 0.031840365
1687.0116 418.862 0.17269824
1663.6593 342.9671 0.056044128
1670.9569 347.34564 0.08421806
1635.9285 354.64325 0.1292715
1681.1735 405.72638 0.08372462
1633.0094 394.05023 0.07035239
1682.633 410.10492 0.11760198
1621.3333 418.862 0.25671685
pose 4
1256.9575 296.1556 0.8230696
1260.383 293.58646 0.8460876
1254.3884 292.73004 0.8253449
1266.3779 295.29922 0.6943365
1248.3936 294.44284 0.76328874
1270.6599 314.99628 0.5824698
1239.8298 314.99628 0.5816195
1278.3674 336.4061 0.66322213
1230.4094 340.68808 0.7539236
1276.6545 356.95953 0.7910175
1234.6914 359.52872 0.75662535
1266.3779 363.8107 0.6609041
1244.1118 363.8107 0.57959133
1264.2368 376.2284 0.08843997
1245.3962 376.2284 0.09555523
1276.6545 357.81595 0.20028636
1238.9734 362.0979 0.1598338
pose 5
6.431999 366.09515 0.39311567
11.403603 354.49472 0.35059106
8.089203 356.15195 0.34756127
11.403603 354.49472 0.47319007
8.089203 354.49472 0.3261412
9.746407 372.72394 0.50731224
3.1175995 376.03836 0.36291265
16.375206 402.55356 0.4953032
6.431999 405.86798 0.71281594
39.57602 422.43997 0.53175855
34.604416 425.75436 0.61067647
8.089203 440.66922 0.41462103
4.774803 442.3264 0.47007617
51.17643 435.6976 0.5365991
47.862022 452.26962 0.6750193
69.40565 495.35684 0.597534
56.148033 508.6144 0.77076006
pose 6
1668.8774 400.90863 0.8933632
1673.2513 396.53473 0.87469405
1668.8774 396.53473 0.87594366
1687.4666 400.90863 0.8457288
