frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,945.627,433.58368,949.711,429.49957,943.585,429.49957,959.9212,425.41553,941.5429,429.49957,974.2154,439.70978,941.5429,451.96198,994.6358,447.87787,931.3328,472.38226,970.1314,466.25616,919.08057,490.76056,992.5937,494.8446,968.0893,500.9707,978.2995,541.81134,961.9632,545.8954,974.2154,598.9882,986.4676,576.5258
1,945.6029,433.62927,949.688,429.5442,943.5603,429.5442,959.9009,425.45905,941.5177,429.5442,974.1987,439.75702,941.5177,452.0124,994.6245,447.92725,931.30493,472.43805,970.11365,466.31036,919.04956,490.82117,992.5819,494.9063,968.07104,501.034,978.28394,541.8853,961.94336,545.97046,974.1987,599.07715,986.4542,576.60895
2,945.0383,433.95618,949.1183,429.87616,942.9983,429.87616,959.31836,425.79614,940.9584,429.87616,973.5984,440.07617,940.9584,452.31616,993.9983,448.23615,930.7583,472.7162,969.5183,468.63617,920.5583,493.1162,991.9584,495.1562,969.5183,499.2362,977.67834,542.0762,963.3983,546.1562,975.6383,599.1962,985.8384,576.7562
3,947.1075,435.13815,949.1396,429.04172,943.04315,431.07388,959.30023,427.00955,941.01105,431.07388,973.5253,441.2346,941.01105,453.4274,993.84674,451.39523,928.8182,473.7488,969.461,469.68454,920.68964,496.1024,993.84674,494.07022,967.4289,502.19882,977.58954,542.8417,963.36456,546.9059,975.55743,599.7416,985.7181,577.38806
4,945.3724,435.4461,949.43634,429.35004,943.3404,431.38208,959.5965,429.35004,941.3084,433.41406,971.7885,441.5421,941.3084,453.73413,994.14056,451.70215,929.1164,476.08618,969.7564,469.99017,918.9563,496.40625,994.14056,494.37427,969.7564,500.47028,977.88446,543.1424,961.6285,547.2064,975.8525,600.0386,986.0125,577.6865
5,947.60785,435.98676,949.6359,429.90277,943.55194,431.93073,957.74786,429.90277,941.52386,431.93073,971.9438,442.07068,941.52386,454.23865,994.25165,452.21063,931.384,474.51855,969.91583,472.49054,919.216,496.82648,992.2237,494.79846,969.91583,500.88245,978.0278,543.4702,961.8038,545.4982,973.97174,600.25397,986.1397,575.9181
6,947.6228,436.05624,949.6488,429.97836,943.5709,432.0043,957.7527,429.97836,941.5449,432.0043,971.9343,442.13412,941.5449,454.2899,994.22,452.2639,931.41516,474.54947,969.90845,472.52353,919.2594,496.83505,992.194,494.8091,969.90845,500.887,978.0122,543.4321,961.80457,545.4581,973.9603,600.15906,986.1161,575.84753
7,946.5811,436.28387,950.60504,432.2599,942.5572,432.2599,958.653,430.24792,940.5451,432.2599,972.737,442.31982,940.5451,454.39178,992.8569,452.37982,930.48517,476.52368,970.72504,472.4997,920.42523,498.65558,992.8569,494.6316,968.71295,500.66754,976.7609,542.9193,960.665,546.9433,974.74896,599.255,986.82086,577.12317
8,947.3423,435.60397,949.33923,431.61014,943.3485,433.6071,959.3237,429.61325,941.35156,433.6071,973.3021,443.59158,941.35156,455.57303,993.2711,453.57614,931.36707,475.54208,969.3082,473.54514,919.3856,499.5049,991.2742,495.51114,969.3082,501.5018,977.2959,543.4369,961.3207,547.43066,975.29895,599.3502,987.2804,577.3843
9,947.34094,436.82922,949.35315,432.80493,943.3168,432.80493,959.4137,430.79285,939.2925,432.80493,973.49854,444.8777,941.3047,456.95038,993.61975,454.93823,929.23193,479.08368,969.47424,475.05945,919.1714,499.20483,991.60754,495.1806,969.47424,501.21698,977.5228,543.47144,961.4258,547.49567,975.5106,597.7986,987.5834,577.6774
10,947.1546,437.58575,951.1691,431.5639,943.1401,433.57123,959.1983,431.5639,939.12555,433.57123,973.2491,443.60754,941.13275,457.65845,993.32184,455.65118,929.0892,479.73846,969.23456,475.72394,919.0528,499.81116,991.31464,495.79663,969.23456,501.81842,977.26373,543.9711,961.2055,547.98566,975.2564,598.1675,987.3,578.0948
11,946.853,437.85724,950.8607,431.84564,942.8452,433.84955,958.8762,431.84564,940.84143,433.84955,972.9033,443.8689,940.84143,457.89594,992.942,455.8921,928.81824,479.93854,968.8956,475.9308,918.7988,499.97723,992.942,495.96954,968.8956,501.98114,976.91113,542.05853,960.8801,546.0663,974.9072,600.1708,986.9304,578.12823
12,947.0292,438.47754,951.0261,432.48218,943.03235,434.48065,959.0199,432.48218,941.0338,434.48065,973.00903,444.4729,941.0338,458.46204,992.9935,456.46356,929.0432,480.44495,969.0122,476.44806,919.0509,500.42944,992.9935,496.43256,969.0122,502.42792,977.006,542.39685,961.0183,546.3938,975.00745,600.3519,986.99817,576.3705
13,946.7581,438.20096,950.76166,432.19553,942.75446,434.19736,958.76886,432.19553,940.7526,434.19736,972.78156,444.2064,940.7526,458.21902,992.7996,456.2172,928.74176,480.23886,968.7779,476.23526,918.7328,500.25693,992.7996,496.25327,968.7779,502.2587,976.7851,542.2948,960.7707,546.29846,974.78326,600.34717,986.7941,578.3273
14,946.8458,438.3664,950.84265,432.3711,942.849,434.3695,958.8364,432.3711,940.8506,434.3695,972.8253,444.36163,940.8506,458.3506,992.8096,456.35217,930.8585,480.33325,968.8285,476.33643,918.8679,500.31744,992.8096,496.32062,968.8285,502.31592,976.82214,542.28436,960.83484,546.2812,974.8237,600.2386,986.81433,578.256
15,946.7865,438.2046,950.78796,434.203,942.7849,434.203,958.79114,432.2022,940.78406,434.203,972.79663,446.2077,940.78406,458.2124,992.80444,456.2116,928.7794,480.221,968.79504,478.2202,918.7755,500.22876,992.80444,496.22723,968.79504,502.22955,976.7982,542.2452,960.7919,546.24677,974.79736,600.2678,986.8021,578.2592
16,946.87756,438.6371,950.87317,432.6435,942.88184,434.64136,958.8646,432.6435,938.8861,434.64136,972.8495,444.6306,940.8839,458.61554,992.828,456.61768,928.89685,480.59192,968.8539,476.5962,918.90765,498.5725,992.828,496.5747,968.8539,502.56824,976.8452,542.5252,960.8624,546.5209,974.8474,598.46497,986.8345,576.48865
17,946.67114,438.7365,950.67395,432.73224,942.66833,434.73364,958.6797,432.73224,940.6669,434.73364,972.6897,444.74078,940.6669,458.7508,992.704,456.7494,930.65967,480.76648,968.6869,476.7636,918.6512,500.78076,992.704,496.7779,968.6869,502.78217,976.6925,542.81067,960.68115,546.81354,974.69116,598.85065,986.6997,576.83496
