frame 0
pose 0
1092.731 625.3952 0.48185745
1087.5541 620.21844 0.49284765
1095.3193 620.21844 0.48306608
1084.9657 622.8068 0.9093818
1108.2614 622.8068 0.91425496
1072.0237 653.8677 0.90489143
1118.615 651.2793 0.898201
1072.0237 690.10535 0.90511256
1149.6758 677.1633 0.96208036
1090.1425 677.1633 0.58281326
1134.1454 656.45605 0.6318398
1087.5541 734.1082 0.78421295
1116.0266 734.1082 0.7660629
1092.731 783.2879 0.91183996
1123.7917 788.4647 0.92760366
1090.1425 832.4676 0.85093534
1121.2034 837.64435 0.8998494
pose 1
920.93427 436.70898 0.97841567
922.9187 430.7558 0.9885021
914.9811 432.74023 0.9668761
930.8563 428.77142 0.9428152
912.9967 434.7246 0.93643415
944.7471 442.66223 0.88835585
911.01227 456.55298 0.9001693
970.5442 450.5998 0.9567723
905.0591 476.39697 0.9146024
954.66907 472.42816 0.9192836
903.0747 500.20972 0.9393606
956.65344 496.24097 0.8404406
932.8407 498.22534 0.8410595
946.73145 545.8509 0.93724424
922.9187 543.8665 0.8002819
944.7471 601.41406 0.88282347
932.8407 577.60126 0.9022709
pose 2
274.22327 557.32367 0.6736356
276.0487 553.6727 0.7435127
273.31055 552.76 0.6903898
264.1833 554.58545 0.3853712
265.096 553.6727 0.62826407
259.61966 579.22906 0.5198088
245.9288 579.22906 0.5906782
270.57236 609.34894 0.6151196
247.75424 620.30164 0.5650842
280.61234 622.12714 0.5491579
279.69962 622.12714 0.27765206
266.00873 628.5162 0.18716641
252.77423 631.71075 0.1367153
296.58502 628.0598 0.09874865
283.8069 631.71075 0.11597649
284.26324 627.60345 0.050127562
266.92148 623.9526 0.027499512
pose 3
1256.7013 296.0364 0.9201178
1259.3121 292.55533 0.903545
1253.2202 292.55533 0.8958639
1264.5338 294.29587 0.78604686
1247.1283 293.4256 0.82449144
1271.496 311.70132 0.5858722
1239.2958 312.5716 0.632656
1278.4581 334.32846 0.6555927
1228.8525 339.5501 0.77283895
1275.8473 357.82584 0.7818473
1238.4255 358.6961 0.7724656
1268.0149 365.6583 0.5618373
1245.3877 365.6583 0.585274
1278.4581 324.75543 0.07040893
1242.3418 373.9259 0.123461746
1276.7175 358.6961 0.3031678
1235.8147 362.17722 0.19759934
pose 4
1668.756 287.02005 0.90668446
1671.9517 282.22665 0.9031834
1665.5604 282.22665 0.9163846
1678.3428 283.82443 0.8086958
1659.1692 283.82443 0.88656723
1686.3318 306.19363 0.74058914
1649.5824 304.59586 0.7873852
1692.723 338.14966 0.75244325
1639.9956 338.14966 0.80230516
1668.756 355.72546 0.8174797
1649.5824 354.12766 0.8361261
1679.9406 357.32324 0.63002354
1654.3759 358.92105 0.6968016
1689.5275 371.70346 0.23229519
1644.7891 378.09467 0.37296793
1683.1362 430.82208 0.19379021
1646.3868 421.2353 0.33492294
pose 5
1667.8013 402.26544 0.9527854
1671.2223 398.84445 0.928775
1667.8013 397.13394 0.89249015
1686.6168 402.26544 0.91298455
1683.1958 402.26544 0.4702663
1690.0378 433.05453 0.76083153
1679.7748 427.923 0.72598124
1683.1958 475.8171 0.86576575
1671.2223 468.97507 0.68387944
1650.6963 480.94858 0.77128
1648.9857 472.3961 0.7174836
1688.3273 496.3431 0.66730666
1674.6433 484.3696 0.64175385
1623.3282 492.9221 0.7987629
1616.4862 484.3696 0.8660055
1635.3018 547.6582 0.77866066
