frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
17,831.31195,434.17255,835.1001,428.49036,827.52386,430.38446,840.7822,430.38446,821.84174,434.17255,854.0406,453.11304,818.0536,455.00708,872.9811,481.5238,799.1131,479.62976,878.66327,515.61676,797.21906,504.25244,855.93463,506.14648,829.4179,506.14648,857.8287,551.6037,814.2655,551.6037,848.35846,570.54425,810.4774,587.5907
18,828.44604,436.0764,832.31995,430.26547,824.57214,432.20242,838.131,434.13943,818.7612,434.13943,851.6897,453.50912,816.8242,457.3831,874.9335,482.56375,797.45447,482.56375,878.8074,513.5553,795.51746,503.87045,855.5637,507.74442,830.38306,507.74442,863.31165,558.1057,814.8872,558.1057,855.5637,577.47546,803.2654,591.0343
19,827.8417,439.58197,831.6798,433.82483,824.00366,435.7439,837.4369,435.7439,820.16565,437.6629,850.8701,458.77228,816.3275,460.69135,875.8175,483.71973,797.1372,489.4768,875.8175,510.58618,795.21814,510.58618,858.54626,518.2623,831.6798,518.2623,868.1415,564.31915,812.4895,562.4001,860.46533,568.15717,800.9752,593.1047
20,830.7174,441.2456,832.61017,437.46014,825.03925,439.3529,838.2884,439.3529,821.2537,441.2456,853.4303,460.17303,817.46826,465.8512,878.0359,484.77863,798.5409,490.4568,876.1431,505.5987,794.75543,509.38422,861.0012,516.95514,834.5029,516.95514,874.2504,562.38086,815.57556,558.5954,866.67944,571.84454,800.43365,592.6646
21,832.3607,444.05313,836.16016,438.35397,828.5613,440.2537,843.7591,440.2537,824.76184,442.1534,857.0571,459.25095,822.8621,464.9501,885.55304,483.94736,805.7646,487.7468,874.15466,499.14517,798.16565,506.7441,866.5558,512.44324,839.9596,512.44324,879.8538,556.1369,817.1629,558.0366,872.25494,578.93365,801.9651,592.2317
22,832.389,444.06702,836.1882,438.36816,828.5898,440.26782,843.7866,440.26782,824.7905,442.16742,857.08386,459.26392,822.8909,464.9627,885.578,483.9588,805.79443,487.758,876.07996,497.25604,798.196,506.7541,866.5819,512.45294,839.9874,512.45294,879.8792,556.1439,817.1921,558.0435,872.28076,578.9392,801.99524,592.2365
23,837.90796,444.14282,841.62823,438.5625,834.18774,440.4226,847.2086,440.4226,830.46747,444.14282,862.08954,459.0238,828.60736,466.4643,889.9914,479.48517,811.8663,486.92566,882.5509,488.78577,800.70557,499.94647,873.2503,507.38696,847.2086,511.10724,884.411,552.0299,819.30676,557.6103,884.411,594.8127,800.70557,589.2323
24,843.2511,442.51505,847.109,438.65714,839.3932,440.5861,852.8959,440.5861,835.5353,442.51505,870.2565,459.87564,835.5353,465.6625,897.26184,477.23624,818.1747,481.09415,887.61707,488.80997,800.8141,496.5258,879.90125,506.17056,852.8959,510.02847,891.475,550.5365,825.8905,554.3944,895.3329,602.6183,804.672,587.18665
25,849.8877,445.12366,851.8257,439.3098,844.07385,441.24774,859.5774,441.24774,842.13586,445.12366,878.9569,460.62726,844.07385,464.5031,906.08813,476.1308,818.8806,480.0067,888.6466,489.69647,795.62524,499.38617,884.77075,509.07593,859.5774,511.01385,898.3364,551.71075,832.44617,553.6487,904.15027,607.9112,809.1908,586.5938
26,856.29474,446.66687,858.2864,442.6836,850.3198,444.67517,866.2529,444.67517,848.3282,448.65845,884.1777,464.59155,850.3198,466.58325,916.0439,474.5498,824.4285,478.53308,900.1108,488.4912,794.55396,494.4662,892.1442,512.39087,864.2613,514.38257,904.09406,560.1902,838.37,556.2069,912.0606,609.9812,818.4536,588.0731
27,862.3926,452.19565,864.3888,448.2031,858.4,448.2031,876.36633,450.19937,856.4038,452.19565,890.33997,468.16562,856.4038,472.1581,922.28,478.14682,826.4601,480.1431,914.29504,488.12808,794.52014,490.1243,896.32874,518.0717,870.37756,520.068,908.3063,565.9816,850.41504,554.0042,914.29504,617.8841,834.44507,591.93286
28,862.42126,452.317,864.4153,448.329,858.4333,448.329,876.3792,448.329,856.43933,452.317,890.3371,468.2689,856.43933,472.25687,922.2409,478.23886,826.52954,480.23282,914.26495,488.20877,794.62573,488.20877,896.31903,518.1185,870.3972,520.1125,908.28296,565.9742,848.4634,556.0043,916.2589,617.8179,834.50543,591.89606
29,870.38654,458.10223,872.18616,454.50287,864.98755,454.50287,881.18445,456.30255,864.98755,458.10223,893.78204,476.09882,863.18787,476.09882,924.3763,485.0971,832.5937,477.89844,926.17596,486.89673,798.40015,481.49774,902.78033,522.8899,877.58514,524.6896,913.5783,569.681,852.38995,566.0817,918.9773,620.0715,845.1913,598.4756
30,877.224,463.93085,880.8301,460.32477,873.618,460.32477,889.84515,462.1278,871.81494,465.73383,902.4663,483.76404,873.618,481.96106,929.51166,492.77917,841.1636,478.35498,913.2844,492.77917,806.9061,474.74896,911.48145,530.64264,884.4361,528.8396,916.8905,570.30914,862.7998,564.9001,918.6935,620.79376,853.7847,599.1575
31,883.1394,468.27716,888.4295,464.75043,879.6127,466.5138,897.24634,468.27716,877.8493,470.04053,907.8266,487.67426,879.6127,485.9109,930.7504,507.0713,851.39874,478.85736,921.93353,503.54456,816.13135,471.8039,914.88007,535.2852,890.1929,537.0486,920.17017,570.5526,863.7423,581.1329,918.4068,621.69037,861.97894,600.5299
32,890.62805,471.752,894.22186,466.36133,887.03424,468.1582,903.20636,469.95508,885.23737,471.752,913.98773,491.51788,883.4404,487.92407,930.1598,520.26825,860.0808,480.73645,921.1753,536.4403,824.1428,471.752,919.3784,540.0341,894.22186,540.0341,922.9722,570.58136,865.4715,588.55035,917.58154,624.48834,878.04974,599.3318
33,896.85114,469.5819,900.5557,465.87732,893.14655,467.7296,907.96484,469.5819,891.29425,471.43414,919.0786,489.95703,889.44196,486.2525,930.1923,517.7414,861.65765,482.5479,930.1923,539.9689,828.31647,471.43414,920.93085,541.8211,896.85114,539.9689,922.78314,571.45776,872.77136,588.12836,919.0786,625.17413,889.44196,599.24207
34,896.84814,469.5409,900.554,465.83496,893.1422,467.68793,907.9658,469.5409,891.28925,471.3938,919.0836,489.9234,889.4363,486.21747,930.2013,517.7177,861.64197,482.51154,930.2013,539.9532,828.28876,471.3938,920.9365,541.80615,896.84814,539.9532,922.7895,571.4534,872.7597,588.13007,919.0836,625.18915,889.4363,599.24774
35,901.74915,466.81485,905.5425,463.02145,897.95575,464.91818,913.1292,466.81485,894.1624,466.81485,920.71594,487.6783,890.3691,483.88498,933.9926,519.9219,861.9189,481.98825,937.7861,548.3721,831.57196,472.50485,924.5093,542.682,899.8525,538.8887,922.6126,571.1322,880.8857,580.6156,918.8193,626.13586,901.74915,599.5824
36,905.9652,462.18896,909.8515,460.24585,902.079,460.24585,915.6809,464.13208,898.1927,464.13208,927.33966,485.50653,894.30646,479.67712,938.9985,520.4829,867.1026,479.67712,942.8847,555.45935,836.01245,473.84778,927.33966,536.028,904.0221,532.1417,923.4534,571.0044,890.42017,572.9475,917.624,625.4121,907.9084,604.0376
37,909.8495,457.30975,913.9431,453.21613,905.75586,453.21613,920.0835,457.30975,901.66223,457.30975,930.3176,479.8247,897.5686,473.68427,948.7389,516.6674,870.95996,475.73108,952.83264,553.51013,838.21094,471.63745,932.3644,528.9483,907.8026,526.9015,926.224,569.88464,901.66223,567.8378,918.03674,625.1487,907.8026,606.7273
