frame 0
pose 0
1023.73206 605.47754 0.81826407
1023.73206 600.4468 0.6701585
1023.73206 602.96216 0.87864786
1003.60876 597.9314 0.9680177
1021.2167 605.47754 0.9551227
986.00085 613.0238 0.9290953
1011.155 630.63184 0.946842
996.0625 610.5084 0.5055836
1021.2167 660.8168 0.95239395
1031.2783 600.4468 0.44182163
1053.9171 660.8168 0.9365763
965.87744 691.00183 0.7815503
988.51624 698.5481 0.77258533
978.4546 751.3718 0.90965796
988.51624 756.4027 0.89677507
986.00085 801.6803 0.73643816
988.51624 809.22644 0.9084083
pose 1
835.7418 407.1274 0.95665526
837.89795 402.81497 0.9619917
831.4293 404.97116 0.9772333
842.21045 404.97116 0.91814625
824.9607 407.1274 0.95278245
850.8353 424.3771 0.919773
814.17957 428.6896 0.89228827
863.7726 445.9393 0.892259
805.5547 463.18906 0.9302495
872.39746 463.18906 0.879799
820.6482 461.03287 0.917351
837.89795 478.28262 0.8826932
814.17957 480.4388 0.883389
840.0542 527.8756 0.9433247
816.3358 527.8756 0.88416785
833.5856 564.5314 0.92940784
818.49207 583.9374 0.8685711
pose 2
268.13083 557.9876 0.83846486
271.3147 552.68115 0.89098054
262.8244 553.74243 0.88194275
274.49854 550.5586 0.5379563
247.96643 556.92633 0.8900888
256.4567 576.0294 0.593507
242.66 584.5197 0.6040174
272.37598 608.92926 0.8547862
264.94696 615.29694 0.64806783
303.1532 618.4808 0.7417421
292.54037 626.97107 0.44201723
259.64056 635.46136 0.23028183
245.84387 640.76776 0.26280728
311.11285 626.4404 0.17615424
302.09192 637.5839 0.15373616
311.11285 628.563 0.09054282
297.8468 638.6452 0.05350103
pose 3
1668.4261 285.15265 0.87976754
1671.7969 281.78186 0.8993067
1665.0553 281.78186 0.8763695
1678.5385 285.15265 0.79440427
1658.3137 283.46725 0.860769
1688.6509 307.06277 0.6784234
1649.8867 307.06277 0.6909205
1681.9093 337.39987 0.7139926
1641.4598 335.71448 0.6075901
1654.943 335.71448 0.69218546
1653.2576 339.08527 0.31421754
1676.8531 359.31003 0.5325425
1649.8867 357.6246 0.53066486
1651.5721 376.16397 0.33216196
1624.6058 371.1078 0.3685693
1651.5721 411.55722 0.205386
1633.0328 426.7258 0.3345967
pose 4
1259.8809 295.47968 0.88432103
1262.5073 292.8532 0.8646022
1256.3789 292.8532 0.8958862
1266.8848 293.7287 0.8042137
1249.375 293.7287 0.8729194
1272.1377 314.74042 0.6091299
1240.6201 314.74042 0.61616
1278.2661 337.5031 0.64308697
1230.9897 341.00507 0.7533716
1276.5151 359.39035 0.7194759
1236.2427 362.0168 0.69362533
1266.0093 366.39426 0.60771215
1244.1221 366.39426 0.6098274
1264.696 374.7114 0.09034027
1247.1863 374.7114 0.08301996
1276.5151 358.51486 0.1354953
1237.1182 360.26584 0.20698474
pose 5
10.589546 364.36816 0.7889141
13.941597 361.0161 0.77593344
7.2374954 359.3401 0.821644
15.617622 364.36816 0.7366731
3.8854446 359.3401 0.6955377
12.265572 381.12842 0.67542624
2.2094193 386.1565 0.44327122
18.969673 409.62085 0.50667363
5.56147 423.02905 0.5946558
44.11006 423.02905 0.61315835
37.40596 444.81738 0.7997654
10.589546 441.46533 0.5644271
5.56147 444.81738 0.5468277
59.194298 443.14136 0.7082609
47.462112 451.52148 0.70903796
69.25045 496.77417 0.6982845
57.518272 506.83032 0.7631623
pose 6
469.143 187.17123 0.7020041
471.38022 184.93402 0.7053321
466.16003 184.93402 0.6639459
475.1089 185.67978 0.6942557
461.6856 185.67978 0.6459902
