frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,1042.5414,428.51788,1046.5895,424.46985,1038.4933,426.4939,1052.6615,426.4939,1034.4453,428.51788,1066.8297,446.7342,1026.3491,448.75824,1076.9498,475.07062,1020.2771,473.04657,1072.9019,499.35895,1022.301,489.23883,1060.7577,489.23883,1036.4692,491.26282,1064.8057,539.83954,1036.4692,541.8636,1060.7577,574.24805,1036.4692,596.5124
1,1042.512,430.51062,1046.5542,426.46838,1038.4697,426.46838,1052.6176,426.46838,1034.4275,428.4895,1066.7653,446.67957,1026.343,448.70062,1076.8708,474.97516,1020.27966,472.95404,1072.8286,499.22845,1022.3008,489.12292,1060.7019,489.12292,1036.4486,491.14404,1064.7441,539.65076,1036.4486,541.6719,1060.7019,574.0097,1036.4486,596.24194
2,1042.3916,430.40836,1046.4636,426.33633,1038.3196,426.33633,1052.5715,426.33633,1034.2478,428.37234,1066.8235,446.69626,1028.1396,448.7322,1077.0034,477.23605,1017.9598,481.308,1074.9675,499.63187,1024.0679,489.45193,1060.7156,489.45193,1036.2837,489.45193,1064.7876,540.35156,1036.2837,542.3876,1058.6794,572.92737,1036.2837,597.35925
3,1042.1619,430.59393,1046.2102,424.52142,1038.1135,426.5456,1054.3068,426.5456,1034.0652,428.56976,1066.4518,446.78723,1027.9927,448.8114,1076.5726,479.1739,1019.89606,469.0531,1074.5485,501.4397,1019.89606,485.2464,1060.3793,491.3189,1036.0894,491.3189,1064.4276,541.92303,1034.0652,541.92303,1060.3793,574.3097,1036.0894,594.5514
4,1041.2272,430.22662,1045.2814,426.17236,1037.1729,426.17236,1053.39,428.19952,1033.1185,430.22662,1065.5529,448.47095,1027.0371,448.47095,1079.7429,480.90527,1018.92847,468.74243,1075.6886,505.23102,1016.90137,484.9596,1061.4985,493.06818,1037.1729,493.06818,1061.4985,541.7196,1031.0914,541.7196,1057.4443,576.18115,1035.1458,594.4254
5,1041.1992,430.14282,1045.2634,426.07874,1037.1351,426.07874,1053.3916,428.11078,1033.0709,430.14282,1065.5841,448.43146,1026.9747,448.43146,1079.8086,480.94452,1018.8465,470.78418,1075.7444,505.32935,1016.8145,485.00867,1061.5199,493.13696,1037.1351,493.13696,1061.5199,541.9066,1031.039,541.9066,1057.4558,574.4197,1035.103,594.74036
6,1039.3597,431.44153,1043.4124,427.38904,1037.3335,427.38904,1051.5173,429.41528,1031.2548,431.44153,1063.6748,451.70404,1027.2023,449.6778,1079.8849,484.12408,1019.0973,471.9666,1075.8324,508.43915,1015.0448,486.15033,1061.6486,500.33417,1037.3335,500.33417,1061.6486,542.88544,1027.2023,542.88544,1057.5961,575.3055,1035.3073,591.51556
7,1038.2731,431.65796,1042.3048,427.62628,1034.2413,427.62628,1050.3682,431.65796,1030.2096,429.64215,1062.4634,451.8166,1026.178,451.8166,1078.5902,484.0703,1014.0828,480.03857,1078.5902,510.27643,1014.0828,486.08618,1062.4634,502.213,1036.2572,502.213,1062.4634,544.546,1024.1621,544.546,1058.4316,576.79974,1036.2572,586.879
8,1036.0195,431.95172,1039.9454,428.02582,1032.0936,428.02582,1047.7972,429.98877,1028.1677,429.98877,1059.575,451.58124,1022.27893,453.54413,1079.2043,484.9513,1008.5383,481.0254,1081.1674,512.43256,1008.5383,490.84015,1061.5378,504.58075,1034.0566,504.58075,1063.5009,541.8768,1026.2048,549.7286,1059.575,575.2469,1036.0195,587.02454
9,1032.8903,433.0479,1038.8911,429.04736,1028.8896,429.04736,1044.892,431.0476,1024.8892,431.0476,1056.8937,453.05072,1020.8885,455.05103,1080.897,483.05493,1004.8863,483.05493,1080.897,511.05884,1004.8863,489.0558,1060.8942,505.05798,1036.8909,507.0583,1066.895,545.0636,1028.8896,557.0653,1060.8942,571.06726,1030.89,591.07007
10,1031.4453,434.28214,1035.374,430.35336,1027.5166,430.35336,1043.2316,432.31778,1023.58777,434.28214,1056.9822,455.8903,1019.65906,455.8903,1080.5547,481.42715,1003.9441,481.42715,1080.5547,504.99966,1000.01526,489.28464,1060.911,512.8572,1035.374,514.82153,1068.7684,561.96655,1029.481,556.0734,1064.8397,571.78845,1033.4097,595.36096
11,1031.4811,434.36682,1035.409,430.43884,1027.5531,430.43884,1043.265,432.40283,1023.62506,432.40283,1057.013,455.97076,1019.6971,455.97076,1080.5808,479.53864,1003.98517,479.53864,1080.5808,505.0705,1000.0572,489.35858,1060.9409,512.92645,1035.409,514.89044,1068.7969,562.0262,1029.5171,556.1342,1064.8689,571.8461,1031.4811,595.41406
12,1030.3896,434.73315,1034.374,430.74878,1026.4053,430.74878,1042.3428,432.74097,1022.4209,434.73315,1056.2881,454.6551,1018.4365,458.63947,1082.1866,476.56915,1006.4834,476.56915,1080.1945,498.48328,998.51465,490.51447,1062.2646,514.4208,1036.3662,514.4208,1070.2334,562.23334,1028.3975,566.2177,1066.249,578.1709,1032.3818,594.1084
13,1032.2815,434.33282,1036.3538,428.2245,1028.2092,430.26062,1042.4622,432.29675,1024.137,434.33282,1056.715,452.65802,1020.06476,456.7303,1085.2208,473.01935,1005.8118,475.05548,1079.1124,491.34454,995.63116,487.27228,1064.8595,511.70587,1036.3538,513.742,1073.004,560.573,1028.2092,566.6814,1064.8595,580.9343,1030.2454,593.1511
14,1032.6652,431.36517,1036.7933,427.23706,1028.5371,429.30115,1045.0496,429.30115,1024.4089,431.36517,1059.4979,449.9417,1022.345,454.0699,1086.3307,466.45422,1007.8965,470.58234,1082.2026,478.83856,995.5121,485.03076,1065.6902,509.79944,1040.9215,511.86353,1071.8823,557.2728,1030.6012,559.33685,1067.7543,590.2978,1030.6012,590.2978
15,1035.2295,431.01505,1037.3645,424.61002,1030.9595,426.74503,1045.9045,426.74503,1026.6895,428.88004,1060.8496,448.09518,1024.5544,452.3652,1088.6049,463.04025,1005.33923,469.44534,1077.9298,484.3904,990.39417,484.3904,1069.3898,505.74057,1043.7695,507.87558,1073.6598,554.84595,1030.9595,556.98096,1071.5248,603.9513,1028.8245,589.0061
16,1037.0472,430.19208,1041.4636,425.7757,1032.6309,427.9839,1048.0881,427.9839,1028.2145,430.19208,1065.7538,447.8576,1026.0062,454.48218,1094.4602,454.48218,1003.9244,469.93958,1092.2521,463.315,981.84247,483.18872,1072.3783,507.47882,1045.88,509.687,1074.5865,558.2673,1030.4226,556.0591,1072.3783,609.05566,1028.2145,586.97375
17,1037.0349,430.2147,1041.4501,425.79953,1032.6198,428.0071,1048.0729,428.0071,1028.2046,430.2147,1065.7335,447.87534,1025.997,454.49808,1094.4321,454.49808,1003.9211,469.9512,1092.2245,463.32846,981.8453,483.1967,1072.3563,507.48013,1045.8652,509.6877,1074.5638,558.2545,1030.4122,556.047,1072.3563,609.02893,1028.2046,586.9531
18,1039.5051,432.80328,1041.6936,428.4264,1035.1283,430.6148,1048.2589,430.6148,1030.7515,432.80328,1065.7665,450.31085,1028.563,454.68774,1098.5933,450.31085,1002.3017,470.00684,1096.4048,461.25305,976.04034,480.94904,1072.3319,507.2104,1046.0706,509.39886,1074.5203,561.9216,1030.7515,555.3562,1074.5203,614.4442,1028.563,585.99445
