frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,962.1262,629.5273,959.60657,621.9684,964.6459,621.9684,962.1262,627.0076,987.3225,621.9684,954.56726,659.76294,1002.4403,647.16473,926.8513,679.92,1020.07776,654.72363,914.2532,692.5182,1002.4403,667.32184,977.244,727.7931,1004.95996,722.7538,962.1262,780.7054,992.3618,775.66614,992.3618,821.0196,992.3618,823.53925
1,963.8898,628.51776,958.83655,623.46454,971.4696,623.46454,961.36316,625.99115,986.6293,620.9379,953.7833,658.8371,1001.7888,646.20404,925.9906,676.5233,1019.4751,653.7839,910.83093,689.1564,999.2622,668.94354,976.5228,727.05554,1004.3154,722.0023,958.83655,777.5877,991.6825,777.5877,986.6293,818.0134,991.6825,823.06665
2,963.98584,625.1929,958.9347,622.66724,969.0371,620.1416,961.4602,625.1929,986.7163,622.66724,953.8834,658.02576,999.34436,645.3977,918.5249,678.2306,1019.5492,652.9745,908.4225,688.333,996.8187,665.60254,974.08826,728.7427,1001.87,723.6915,958.9347,776.72925,991.7676,779.2549,986.7163,817.1389,991.7676,822.1902
3,968.5484,625.9765,958.3841,620.89435,968.5484,620.89435,960.9251,623.4354,986.3359,620.89435,953.30194,656.46936,999.0412,646.30505,922.80914,671.7158,1016.8287,651.3872,910.1037,679.339,991.418,638.6819,971.0894,727.6193,1001.58234,725.07825,958.3841,775.89966,991.418,778.44073,986.3359,816.5568,991.418,821.639
4,968.59357,625.9713,958.4251,620.8871,968.59357,620.8871,960.9672,623.4292,986.38837,620.8871,953.3409,656.47656,999.09894,646.30817,922.83563,671.72925,1016.8936,651.3924,910.12506,679.3556,991.4726,638.6818,971.1357,727.65564,1001.6409,725.1135,958.4251,775.9557,991.4726,778.4978,986.38837,816.6294,991.4726,821.7136
5,965.37274,624.01984,957.6893,621.4587,965.37274,618.89746,960.2504,624.01984,983.30096,621.4587,952.56683,652.1928,998.668,647.07043,929.5163,664.9987,1016.5964,652.1928,911.58795,675.2434,998.668,639.3869,970.49506,726.467,998.668,726.467,957.6893,777.69055,990.98456,775.12933,985.86224,816.1082,990.98456,821.2306
6,964.6647,626.19794,959.51917,621.05255,972.3827,618.47986,959.51917,623.62524,982.6736,623.62524,951.80115,651.925,995.5371,646.7796,920.9286,664.7885,1013.546,654.49774,908.06506,672.50665,1000.6825,641.6342,969.81006,726.53345,998.10974,726.53345,959.51917,777.98755,990.3917,777.98755,987.819,816.5781,990.3917,821.7236
7,966.55273,625.584,956.2085,617.8258,969.1388,617.8258,958.79456,622.9979,982.069,622.9979,951.0364,651.4446,994.99927,646.27246,920.00366,661.7888,1010.5156,651.4446,912.2455,659.20276,997.5853,638.5143,966.55273,726.4402,994.99927,723.8541,961.3806,778.1614,989.8273,778.1614,987.2411,816.9523,989.8273,822.1244
8,957.55164,621.53516,954.96216,616.35626,965.31995,616.35626,957.55164,624.12463,980.85657,621.53516,949.7832,652.6085,993.80383,647.4296,918.70996,655.19794,1006.7511,650.01904,910.9415,647.4296,986.0355,637.07184,965.31995,727.7024,993.80383,725.113,960.141,782.08075,988.6249,779.49133,986.0355,818.333,988.6249,831.2802
9,963.84326,619.4808,953.4883,614.3033,963.84326,614.3033,956.077,622.0695,979.37573,622.0695,945.7219,650.5458,992.31946,647.95703,912.06824,650.5458,1005.2633,647.95703,912.06824,624.65826,984.5532,637.60205,961.2545,728.2083,989.7307,728.2083,958.6658,782.5721,987.14197,777.3946,984.5532,821.4033,987.14197,829.16956
