frame 0
pose 0
938.0116 151.53473 0.75201833
972.53467 176.85156 0.58240694
933.40857 176.85156 0.56680423
970.23315 195.26382 0.39039093
942.61475 190.66077 0.37798503
963.3285 206.77148 0.61248136
942.61475 209.07303 0.58538395
967.9315 250.50061 0.5480211
944.91626 250.50061 0.5846118
970.23315 291.92816 0.47261712
949.5193 289.62665 0.5307251
pose 12
949.4843 134.10901 0.6796067
951.8998 130.48581 0.6879962
947.06885 130.48581 0.6671058
956.7307 130.48581 0.38582236
943.4457 131.69354 0.42435312
965.1848 147.39404 0.62180674
936.1993 148.60178 0.5810389
972.4313 166.71774 0.5551225
932.5761 169.13321 0.473366
971.2235 182.41824 0.5110692
947.06885 186.04144 0.2676988
965.1848 184.83371 0.40491018
943.4457 184.83371 0.44225016
965.1848 223.48111 0.3543101
945.86115 224.68884 0.40069407
968.2041 254.27826 0.33984968
948.88043 254.27826 0.32965502
pose 13
1669.4205 401.3001 0.93969756
1673.3595 397.36108 0.89477164
1669.4205 395.39154 0.9107017
1687.1464 401.3001 0.89508307
1669.4205 397.36108 0.51030695
1691.0853 430.84314 0.8065327
1681.2377 430.84314 0.7757402
1685.1768 476.14246 0.89212114
1669.4205 466.2948 0.69060445
1647.7556 482.0511 0.861202
1643.8165 470.23383 0.8110187
1685.1768 493.8683 0.7264157
1675.3291 485.99017 0.6515986
1622.1516 491.89874 0.8333396
1616.243 484.02063 0.88548523
1635.9384 549.01526 0.81222755
1631.9993 545.07623 0.7832886
pose 14
366.33768 188.45837 0.8184609
369.07336 185.72272 0.8181772
364.96985 185.72272 0.80900973
374.54468 187.09055 0.70969594
360.86636 187.09055 0.74533033
381.38382 202.13669 0.78902286
351.29153 203.50452 0.808233
384.11948 221.28632 0.6417925
348.55588 222.65414 0.70085764
382.75165 236.33243 0.4195558
352.65936 241.80377 0.45138174
375.9125 236.33243 0.57661813
356.76288 236.33243 0.5703795
375.9125 258.21774 0.46201813
356.76288 258.21774 0.3654159
375.9125 280.10303 0.43007916
360.86636 284.2065 0.33298212
pose 15
218.61032 159.38266 0.7833608
221.02719 155.75737 0.8292687
216.19345 155.75737 0.8212353
225.8609 158.17422 0.62128925
211.35974 156.96579 0.74849516
231.90305 173.88382 0.75435764
206.52603 172.67538 0.80706155
236.73676 193.21869 0.6445932
205.3176 193.21869 0.60097414
236.73676 206.51141 0.3646926
207.73444 212.55356 0.4106993
229.4862 217.3873 0.61455375
211.35974 216.17886 0.5548532
228.27777 247.59805 0.45551586
212.56818 247.59805 0.5052329
227.67355 275.99612 0.34539694
213.1724 275.99612 0.37132505
pose 16
414.57666 180.94864 0.7687533
417.77237 178.55185 0.76768667
411.38095 177.7529 0.78375524
423.3649 180.14969 0.6259615
405.78842 180.14969 0.63033164
430.55527 198.52509 0.5812498
400.99484 200.92188 0.5908717
435.34885 220.09619 0.4419851
397.79913 224.09085 0.43317962
428.9574 232.08014 0.08536928
415.37558 233.67801 0.121748894
429.75635 239.27051 0.41509038
407.3863 239.27051 0.4711363
431.75366 255.64859 0.045998275
406.58737 254.4502 0.06716045
439.3435 235.27588 0.087206244
419.37024 235.27588 0.053073283
pose 17
307.94006 221.36388 0.8413061
309.50284 216.67561 0.851822
304.81454 218.23836 0.8293927
315.75388 218.23836 0.7619553
298.56354 219.8011 0.7824287
322.00488 235.4287 0.7471037
292.3125 238.55421 0.80329096
326.69315 255.74452 0.58550173
292.3125 258.87006 0.65878713
325.1304 269.80933 0.37281993
290.74973 283.87415 0.34054977
320.44214 271.37213 0.626895
301.68906 272.93488 0.60555583
323.56766 305.75275 0.438487
304.81454 307.3155 0.4649386
323.56766 340.13342 0.3657066
306.37732 343.2589 0.41164047
pose 18
1291.3004 200.75388 0.7432986
1294.589 197.46533 0.7814885
1289.6561 197.46533 0.7711155
1299.5219 199.10959 0.71251875
1286.3677 200.75388 0.645186
1306.0989 217.19662 0.7301255
1279.7905 217.19662 0.72848576
1309.3875 243.505 0.647364
1274.8577 243.505 0.6817955
1301.1661 271.45767 0.34999254
1283.0791 271.45767 0.24323514
1299.5219 282.9676 0.46714523
1283.0791 286.25616 0.45474306
1302.8104 317.49738 0.52359265
1286.3677 317.49738 0.5566501
1302.8104 355.31567 0.46080285
1283.0791 355.31567 0.6076438
pose 19
1240.378 203.27966 0.5733377
1243.2705 199.66408 0.5538248
1238.2087 201.11032 0.52685076
1248.3324 201.11032 0.5150474
1235.3163 201.83344 0.36414206
1254.8403 216.29572 0.6256747
1228.0851 217.01883 0.6034476
1258.4559 239.4354 0.4333255
1221.5771 238.71228 0.49953282
1251.2249 253.8977 0.5230731
1225.1926 253.17459 0.4708619
1252.671 261.85196 0.3896045
