frame 0
pose 0
1105.6971 636.5581 0.5443106
1103.0704 631.3048 0.5282215
1108.3237 628.6782 0.54689693
1095.1907 633.9315 0.9007365
1118.8302 631.3048 0.8933963
1084.6842 662.8242 0.9081843
1129.3367 660.19763 0.87774056
1084.6842 694.3436 0.9277626
1166.1093 678.584 0.93608254
1131.9633 662.8242 0.42595002
1155.6028 660.19763 0.8974167
1095.1907 738.9961 0.78586245
1124.0834 738.9961 0.7508536
1100.4438 794.155 0.92434204
1131.9633 799.4082 0.93733865
1100.4438 844.06067 0.88308007
1126.7101 846.68726 0.921656
pose 1
920.4754 423.39572 0.9720742
924.7714 416.95175 0.9606156
916.17944 419.0997 0.95671326
931.2154 414.80374 0.9494357
914.03143 419.0997 0.9284426
946.2514 431.9877 0.90421414
909.7355 440.57968 0.91597015
974.17535 440.57968 0.9489204
903.29144 459.91165 0.8524724
959.13934 462.05966 0.9419785
903.29144 474.94766 0.91780794
950.5474 492.13162 0.8283406
926.9194 494.27957 0.8344835
946.2514 545.83154 0.8748886
924.7714 541.5355 0.8486116
946.2514 599.5314 0.87550694
933.36346 578.0515 0.9073676
pose 2
276.06067 555.18835 0.75896984
276.06067 550.56213 0.7219187
273.2849 551.48737 0.8061236
264.03244 556.1136 0.4639307
264.9577 555.18835 0.8257645
258.48096 579.2448 0.5140875
245.52748 580.17004 0.5551106
270.5092 609.778 0.6086949
254.77998 619.95575 0.5376777
289.01416 619.95575 0.47313076
288.0889 622.7315 0.27612445
259.4062 630.1335 0.1739722
239.51338 632.4466 0.15723713
291.7899 624.582 0.13107535
296.87875 626.8951 0.056316864
291.7899 627.3577 0.08495379
255.70522 617.18 0.054374695
pose 3
1650.5305 296.5407 0.8944691
1655.2473 291.8239 0.9291182
1647.386 291.8239 0.9029675
1663.1086 294.96844 0.79833966
1642.6692 293.39618 0.8086856
1670.97 312.26337 0.726229
1637.9524 313.83563 0.7672573
1675.6868 343.70868 0.7449588
1628.5188 342.1364 0.81749874
1648.9583 356.2868 0.7251811
1637.9524 354.71454 0.8134059
1664.6809 364.14813 0.5733268
1641.0969 364.14813 0.53646135
1658.3918 406.5993 0.20163302
1623.802 365.7204 0.26317406
1664.6809 444.33374 0.1806658
1631.6633 439.61694 0.24858001
pose 4
1258.6978 296.54156 0.8910732
1262.1738 293.06543 0.88059664
1256.0906 293.06543 0.9050163
1266.519 294.8035 0.71594626
1249.1382 294.8035 0.8867074
1272.602 313.0532 0.6328931
1241.3169 314.79123 0.64246815
1279.5544 335.64804 0.710494
1231.7576 340.8622 0.7923417
1277.8164 358.24286 0.7972499
1235.2339 359.1119 0.7858691
1267.388 362.58804 0.5990232
1244.7932 364.32608 0.6354722
1283.0305 371.27835 0.07072468
1231.3232 374.31998 0.08113866
1276.9473 359.98093 0.12573494
1231.7576 362.58804 0.2505816
pose 5
669.7907 287.7145 0.8627822
672.38306 284.258 0.85122746
667.1983 285.12213 0.8452508
677.5678 285.98627 0.75886023
662.01355 286.8504 0.7455293
684.48083 308.45358 0.6142278
655.1005 307.58945 0.5842284
689.66565 332.64914 0.79278445
647.32336 330.9209 0.7598952
679.2961 350.79584 0.8179279
653.37225 349.9317 0.85545933
677.5678 355.9806 0.52683747
659.42114 353.3882 0.54781705
675.40753 371.96695 0.13531467
654.66846 371.96695 0.19499776
678.43195 368.9425 0.052666202
647.32336 354.25235 0.11055715
pose 6
1666.5681 401.64496 0.898793
1672.3262 397.03857 0.8732442
1667.7197 395.88702 0.8613699
1686.1453 401.64496 0.88223875
1683.842 400.4934 0.41218317
1688.4485 431.5865 0.6328659
1681.539 425.8285 0.6078124
1684.9937 476.49878 0.8079134
1672.3262 468.43756 0.6543307
1649.2942 483.40833 0.5600577
1641.233 474.19556 0.5576279
1687.2969 497.22748 0.42808962
1675.7809 491.46948 0.33671457
1627.4138 491.46948 0.6572687
1627.4138 482.2567 0.39758885
1624.5349 504.7129 0.021872008
1622.2317 507.01605 0.041251983
pose 7
14.38298 358.24152 0.74806744
14.38298 353.37442 0.7741052
9.515892 354.99677 0.7491585
16.00534 354.99677 0.40456414
4.6488037 356.61914 0.5706716
11.13826 372.84277 0.60501117
3.0264435 377.70984 0.33727232
22.49479 400.4229 0.6537368
9.515892 406.91235 0.5751669
46.830223 418.26892 0.58224255
32.22896 444.22668 0.6901121
11.13826 434.49255 0.4511487
4.6488037 445.84906 0.43785736
59.809113 444.22668 0.7782005
46.830223 452.3385 0.6911138
67.92093 494.5199 0.69187295
54.94203 509.12122 0.7218128
pose 8
472.8198 195.91214 0.5376948
475.07553 192.9045 0.6064804
469.81216 192.9045 0.5688441
479.58704 192.9045 0.5187661
465.3007 191.40067 0.50242394
484.0985 204.93509 0.66367763
452.51816 201.92744 0.5581723
487.85803 225.98865 0.43451947
444.24713 223.73291 0.37747076
485.6023 235.76352 0.15272251
463.04495 235.0116 0.1723485
479.58704 240.275 0.37584656
456.2777 240.275 0.40094614
477.3313 221.47717 0.03449435
449.5105 232.75586 0.056565817
464.54877 234.25967 0.13025603
466.8045 233.50778 0.13381085
pose 9
1439.6348 198.08391 0.7237571
1442.5887 195.12994 0.7187465
1437.4193 194.39145 0.69527954
1447.7582 195.86844 0.63392
1432.2499 196.60693 0.5452388
1458.8356 211.37677 0.6454468
1426.3419 215.80774 0.6363382
1464.005 234.27002 0.34102193
1422.6494 239.43945 0.3525671
1442.5887 235.74701 0.118813396
1448.4967 232.79303 0.1403003
1458.097 254.20929 0.45491412
1433.7268 256.42477 0.38611066
1457.3585 216.5462 0.024792466
1443.3271 239.43945 0.046935726
1466.959 239.43945 0.11759676
1442.5887 257.90176 0.08323497
pose 10
1292.1456 198.71695 0.81880176
1295.6296 195.23285 0.81323284
1290.4036 195.23285 0.842735
1300.8558 198.71695 0.76918393
1285.1774 196.97491 0.7809301
1304.3398 216.13739 0.7492821
1279.9513 216.13739 0.75881994
1309.566 237.04187 0.6278577
1274.7252 242.268 0.66228503
1302.5978 257.9464 0.44890392
1279.9513 250.97821 0.36287242
1299.1138 280.59296 0.5802375
1283.4354 280.59296 0.5976142
1299.1138 324.144 0.5313853
1285.1774 322.40198 0.49647465
1297.3717 360.7269 0.5669889
1281.6934 358.98486 0.649367
pose 11
951.57336 133.73059 0.57970256
954.7927 129.70639 0.591027
949.1589 129.70639 0.5913186
960.4266 132.12091 0.4709711
945.9395 132.92575 0.468274
967.6701 149.02249 0.5607237
937.8911 148.21765 0.5867288
974.91364 169.94827 0.44498867
933.0621 170.75311 0.4464059
970.08466 185.2402 0.39585268
945.13464 187.6547 0.24860449
966.0604 194.09341 0.2921098
941.1105 187.6547 0.2676135
964.45074 196.5079 0.116298564
937.8911 190.06921 0.07116838
964.8532 207.37323 0.10710801
939.0984 207.37323 0.09540558
pose 12
1584.568 284.7931 0.30532756
1588.5923 278.75653 0.4118981
1581.5497 278.75653 0.41812497
1596.6411 282.78088 0.34124222
1577.5254 282.78088 0.3927839
1604.6898 305.921 0.4595247
1568.4705 305.921 0.5443266
1605.6959 339.122 0.309396
1556.3975 332.07938 0.4529316
1577.5254 345.15857 0.5650279
1558.4095 343.14636 0.6625688
1597.6471 362.26212 0.35371765
1569.4766 358.23773 0.37597018
1594.6289 351.1951 0.11854146
1555.3914 354.21338 0.1654854
1577.5254 346.16464 0.15143967
1569.4766 372.32303 0.057158366
pose 13
141.3752 99.233505 0.7585995
144.52641 95.03189 0.72589123
138.22398 95.03189 0.70666856
149.77844 97.132706 0.58996564
132.97195 96.08229 0.6266137
160.28249 114.98958 0.5717016
126.669525 117.09039 0.65289444
167.63533 139.14891 0.4519474
121.417496 140.19931 0.4531876
159.23209 149.65297 0.22533856
125.619125 153.85458 0.19943906
158.18169 168.56026 0.3621852
134.02237 171.71147 0.39145607
159.7573 197.4464 0.18207714
134.54756 197.4464 0.1659562
172.88734 183.26593 0.1399071
124.56871 183.26593 0.15924399
pose 14
370.17725 189.11731 0.7837637
371.70132 184.54498 0.77472353
367.12903 184.54498 0.7897454
377.79776 187.5932 0.7609589
362.5567 186.06909 0.76507527
382.37006 205.88245 0.7686251
351.888 204.35834 0.7773488
386.94238 228.74399 0.54650366
347.31567 227.21988 0.6183399
380.84595 247.03323 0.3179517
350.3639 245.50912 0.37826234
374.74954 251.60556 0.45843703
353.41208 250.08145 0.45282456
371.70132 294.28043 0.23761892
353.41208 294.28043 0.26870188
367.89108 328.57278 0.13832779
352.65002 328.57278 0.19363172
pose 15
214.86032 158.55682 0.8123627
218.30325 155.97462 0.80930823
212.27814 155.11389 0.8217593
223.46765 157.69609 0.71975595
208.8352 156.83536 0.7266142
231.21426 174.05002 0.5980967
203.6708 175.77148 0.59814703
235.51791 199.01128 0.43643677
196.78494 198.15054 0.32474467
220.88547 211.06152 0.49505767
204.53152 211.92227 0.14013754
221.74619 219.66888 0.20989807
203.6708 217.08667 0.26943254
215.72107 234.30133 0.08115191
211.41739 217.94739 0.06438949
228.63205 227.41547 0.10591466
201.51897 237.3139 0.055243142
pose 16
1241.0731 201.00656 0.7307429
1243.8445 196.84952 0.73925656
1236.9161 196.84952 0.70476717
1249.3872 198.2352 0.57825637
1232.759 198.2352 0.55824846
1253.5443 214.86337 0.71468747
1224.445 214.86337 0.63724446
1259.087 237.03433 0.55770445
1216.1309 235.64865 0.37983364
1250.773 253.66254 0.62476534
1223.0592 248.11978 0.2886064
1245.2302 260.59094 0.52898896
1223.0592 259.20526 0.532916
1241.0731 300.77576 0.47479087
1223.0592 300.77576 0.41868234
1238.3018 335.41785 0.37066245
1220.2878 335.41785 0.38522288
pose 17
1667.3768 400.81113 0.94162846
1671.3218 396.86606 0.91388255
1667.3768 396.86606 0.8947967
1685.1295 400.81113 0.9496318
1675.2668 398.8386 0.5075275
1691.0471 432.3716 0.81907797
1679.2119 428.42654 0.7022465
1683.157 475.76736 0.8835953
1669.3492 463.93216 0.7292146
1649.624 481.6849 0.8865046
1643.7064 471.8223 0.8089779
1685.1295 493.5201 0.67631537
1673.2943 485.62997 0.7009301
1623.9811 493.5201 0.860517
1614.1184 483.65744 0.90701914
1635.8163 548.75104 0.83773017
1629.8987 544.80597 0.79501516
pose 18
812.5432 135.74542 0.67643696
814.9094 133.3792 0.6959063
810.1769 133.3792 0.6865848
818.85315 136.53416 0.450125
806.2333 135.74542 0.43096766
824.37427 151.52028 0.56238437
799.1345 151.52028 0.5728176
830.6842 168.87262 0.43267784
795.9796 170.4501 0.33529806
830.6842 178.33754 0.3271446
808.5995 179.91502 0.159158
824.37427 189.37993 0.38498235
803.07825 191.74617 0.35418034
825.1631 181.49251 0.14359842
803.07825 181.49251 0.06433812
825.5574 211.07036 0.17218375
801.89514 211.07036 0.14018486
pose 19
420.23932 181.991 0.3275288
426.5971 176.54144 0.39790145
414.78976 176.54144 0.33906087
408.43195 174.72493 0.11425972
438.40448 176.54144 0.1199994
402.9824 201.97269 0.13181314
402.07413 201.06442 0.16479774
391.17502 224.67917 0.119165
391.17502 231.03699 0.090566054
442.03754 216.50485 0.03313044
420.23932 187.44055 0.04505664
408.43195 250.11041 0.12287667
436.58795 252.83517 0.21204554
434.77145 242.84433 0.031793337
412.06497 223.7709 0.08296564
437.95035 257.8306 0.049061425
428.41364 235.57828 0.05839271
pose 20
1847.5332 166.97476 0.31759498
1849.9436 164.56439 0.2823379
1845.1228 161.35057 0.2613433
1855.5677 164.56439 0.30829477
1838.6952 161.35057 0.32316118
1861.9955 179.83008 0.48385832
1826.6433 178.22316 0.5670231
1857.9781 205.54068 0.299851
1816.1985 206.34412 0.45525146
1837.0883 209.55795 0.14032245
1840.3021 208.75449 0.21384011
1855.166 229.24261 0.22117935
1831.0624 229.24261 0.26461083
1857.9781 224.02017 0.0449108
1819.4122 217.59253 0.06506067
1853.9608 211.96832 0.04929305
1815.395 206.34412 0.03677818
frame 1
pose 0
1105.6584 636.71204 0.5353812
1103.0354 631.4657 0.52266604
1108.2816 628.84265 0.5357148
1095.1659 634.08887 0.9042432
1118.7743 631.4657 0.8928752
1084.6733 662.9436 0.90835524
1129.2668 660.32043 0.8757424
1084.6733 694.4214 0.9309246
1165.991 678.6825 0.9367623
1134.5132 662.9436 0.41588563
1155.4984 660.32043 0.8895952
1095.1659 739.015 0.78581786
1124.0206 741.6382 0.75101835
1100.4122 794.1012 0.9233088
1131.89 799.34753 0.93794906
1100.4122 843.94104 0.8870766
1126.6437 846.5642 0.9144924
pose 1
920.4578 423.4476 0.9738119
924.75256 417.00546 0.96286756
916.1631 419.1528 0.96031064
931.1947 414.85806 0.94687146
914.0157 419.1528 0.92853266
946.22644 432.03708 0.9044309
909.72095 440.62662 0.91619635
974.14233 440.62662 0.9484961
903.2788 459.95303 0.8514843
959.1107 462.10043 0.9429669
903.2788 474.9847 0.9202954
950.5211 492.16373 0.8305112
926.9 494.31113 0.83331645
946.22644 545.84827 0.8773078
924.75256 541.55347 0.8533645
946.22644 599.5327 0.87715805
933.34216 578.05896 0.9116169
pose 2
276.07764 555.1869 0.75618446
276.07764 550.5603 0.7200661
273.30167 551.4856 0.8061531
264.0485 556.1122 0.4644014
264.97382 555.1869 0.82557744
258.49658 579.2451 0.5160311
245.54211 581.0958 0.55417717
270.52573 609.78076 0.6024286
254.79529 619.9592 0.5369992
289.0321 619.9592 0.4531479
288.10678 622.7352 0.27307194
