frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
17,810.9448,623.63824,808.3064,618.3614,813.58325,615.72296,800.3912,623.63824,824.13696,623.63824,789.83746,655.29926,834.6906,652.6608,792.4759,686.9603,863.71326,679.04504,813.58325,686.9603,861.0748,665.85297,800.3912,731.8135,829.41376,734.4519,808.3064,784.5819,832.0522,789.85876,808.3064,834.7119,824.13696,839.9887
18,810.9305,623.49963,808.2923,618.2234,813.56854,615.5852,800.378,623.49963,824.12103,623.49963,789.8255,655.1571,834.6735,652.5189,792.4636,686.81445,863.6929,678.90015,813.56854,686.81445,861.05475,665.7096,800.378,731.6626,829.3973,734.30066,808.2923,784.42505,832.0354,789.7013,808.2923,834.5493,824.12103,839.82556
19,810.88055,623.2936,805.5957,618.0087,816.16534,618.0087,800.31085,623.2936,824.0926,623.2936,789.7412,655.00256,834.66223,652.3601,792.3836,686.71155,863.7288,678.7843,813.52295,686.71155,861.0864,665.5722,800.31085,731.63257,829.37744,734.27496,808.2381,787.1233,834.66223,789.7657,808.2381,834.68677,824.0926,839.9716
20,810.83954,623.49207,808.1971,618.20715,813.482,615.5647,800.26965,623.49207,824.0518,623.49207,789.6998,655.2016,834.62164,652.55914,792.3423,686.91113,863.6887,678.98376,813.482,686.91113,861.04626,665.7714,800.26965,731.83295,829.33673,731.83295,808.1971,784.6821,834.62164,789.96704,808.1971,834.8889,824.0518,840.1738
21,810.80566,623.51733,808.16125,618.22864,813.45,615.5843,800.2282,623.51733,824.02747,623.51733,789.65076,655.2497,834.6049,652.60535,792.2951,686.98206,863.69293,676.4046,813.45,686.98206,861.0485,665.82715,800.2282,731.9362,829.31616,731.9362,808.16125,784.8234,834.6049,787.46783,808.16125,835.06635,824.02747,840.35504
22,810.9157,623.32764,808.2709,618.038,813.5605,615.39325,800.3365,623.32764,824.13965,623.32764,789.75726,655.0652,834.7189,649.7756,792.4021,686.8028,863.81165,678.86835,813.5605,686.8028,861.1668,665.6444,800.3365,731.76434,829.42926,731.76434,808.2709,784.6603,834.7189,789.9499,808.2709,834.91144,824.13965,840.201
23,811.1899,623.6588,805.9211,618.39,813.8243,615.7556,800.6523,621.0244,824.3619,623.6588,790.11475,652.63715,834.8995,650.00275,792.7491,686.8843,863.87775,676.3467,813.8243,686.8843,861.2434,665.8091,800.6523,729.0346,829.6307,731.669,808.5555,784.35693,832.2651,789.62573,808.5555,834.4104,824.3619,839.6792
24,811.2869,623.4267,806.02484,618.1647,813.91797,615.5336,800.7628,623.4267,824.4421,623.4267,790.2387,652.368,834.9662,649.73694,790.2387,686.57135,863.9075,676.04724,813.91797,686.57135,861.2764,665.52313,800.7628,731.2988,829.7041,731.2988,808.6559,783.9193,832.33514,789.1814,808.6559,833.9088,824.4421,839.1709
25,811.33685,623.2062,806.0731,617.9424,813.96875,615.3105,800.8093,623.2062,824.49634,623.2062,790.2818,654.7888,835.02386,649.525,792.91364,686.37146,863.9747,675.84393,813.96875,686.37146,861.3427,665.31635,800.8093,731.1136,829.7601,731.1136,808.705,786.38324,832.39197,789.01514,808.705,833.75726,824.49634,839.02106
26,811.5579,622.8769,806.30615,617.6251,814.18384,614.9992,801.0543,622.8769,824.68744,622.8769,790.5508,654.3877,835.19104,649.1359,793.17664,685.8985,864.0759,678.02075,814.18384,685.8985,861.45,664.8913,801.0543,730.53876,829.9392,730.53876,808.93207,785.6826,832.5651,788.30853,808.93207,835.5747,824.68744,840.8265
27,811.52075,622.9184,806.2652,617.66284,814.14856,615.03503,801.00964,622.9184,824.65967,622.9184,790.49854,654.4517,835.1708,649.19617,793.12634,685.98505,864.07635,678.1017,814.14856,685.98505,861.44855,664.9628,801.00964,730.6573,829.9152,730.6573,808.893,785.84064,832.543,788.4684,808.893,833.1406,824.65967,838.3962
28,811.683,622.9049,806.43555,617.65753,814.30664,615.0338,801.1881,622.9049,824.8014,622.9049,790.69336,651.7656,835.29626,649.1419,790.69336,685.8737,864.157,678.0026,814.30664,685.8737,861.5332,664.8841,801.1881,730.4766,830.0488,730.4766,809.0592,785.5743,832.6725,788.198,809.0592,832.8009,824.8014,840.672
29,811.8249,622.74994,806.5668,617.4919,814.4539,614.8628,801.30865,622.74994,824.97015,622.74994,790.7925,651.66956,835.4864,649.04047,790.7925,685.8472,864.40594,677.9601,814.4539,685.8472,861.7769,662.1857,801.30865,730.54114,830.2283,730.54114,809.19586,785.7512,832.8573,788.38025,809.19586,833.07416,824.97015,838.3323
30,811.8761,622.5416,806.61456,617.2801,817.13763,617.2801,801.353,622.5416,825.02997,622.5416,790.82996,654.11084,835.55304,648.8493,790.82996,685.6801,864.4915,675.15704,814.5069,685.6801,861.8607,664.634,801.353,730.40314,830.2915,730.40314,809.2453,785.64935,832.92224,788.2801,809.2453,833.0031,825.02997,840.89545
31,811.8301,622.0063,806.5562,616.7324,817.1039,616.7324,801.2824,622.0063,825.0146,622.0063,790.7348,651.0122,832.9253,648.3753,790.7348,685.292,864.5681,674.7443,814.4669,685.292,861.9313,661.5598,801.2824,730.1193,830.2884,730.1193,809.1931,785.4943,832.9253,788.1313,809.1931,832.9587,825.0146,840.8693
