frame 0
pose 0
914.8639 616.645 0.4606734
912.28076 614.062 0.6016926
917.4469 611.4789 0.44089368
912.28076 616.645 0.9226019
935.52844 614.062 0.9247266
907.1146 645.05884 0.89988464
951.027 639.8927 0.90925306
881.2838 647.64197 0.9167898
976.85767 652.8081 0.97512543
891.6161 626.9773 0.88886905
956.1931 655.39124 0.73052907
920.03 722.55115 0.8272538
951.027 722.55115 0.8047354
912.28076 771.62964 0.90119493
945.8607 774.21277 0.9503676
920.03 812.95886 0.8718846
935.52844 820.7081 0.8912542
pose 1
1042.5414 428.51788 0.93674874
1046.5895 424.46985 0.9402145
1038.4933 426.4939 0.9448687
1052.6615 426.4939 0.9336287
1034.4453 428.51788 0.9465433
1066.8297 446.7342 0.875201
1026.3491 448.75824 0.9021734
1076.9498 475.07062 0.94336075
1020.2771 473.04657 0.7662237
1072.9019 499.35895 0.86622626
1022.301 489.23883 0.8404626
1060.7577 489.23883 0.8176605
1036.4692 491.26282 0.7826693
1064.8057 539.83954 0.8803629
1036.4692 541.8636 0.89178133
1060.7577 574.24805 0.8794389
1036.4692 596.5124 0.8647786
pose 2
270.6066 556.12885 0.7744228
272.4482 550.604 0.7781123
264.16092 552.4456 0.8226762
275.21066 551.52484 0.36716273
249.42798 554.28723 0.83866006
260.4777 580.06995 0.5432959
242.0615 580.9907 0.53366977
270.6066 611.3775 0.39846608
266.00256 615.0607 0.3185451
290.8644 618.74396 0.4522811
282.57712 618.74396 0.39384025
259.09647 633.01654 0.17659871
236.99704 633.01654 0.17118049
290.8644 625.18964 0.12853321
284.87915 633.01654 0.10453721
269.6858 613.2191 0.11998386
275.21066 620.5856 0.17085217
pose 3
1654.8346 295.45123 0.8352592
1657.9746 290.74133 0.8550132
1650.1248 290.74133 0.85946286
1664.2544 292.31128 0.58200204
1643.8448 292.31128 0.76476663
1675.2443 312.7209 0.5920559
1639.135 312.7209 0.719447
1678.3842 345.6902 0.62449694
1631.2852 340.9803 0.6082527
1650.1248 356.68 0.70530015
1634.425 353.54004 0.5436967
1667.3944 380.2295 0.32273778
1642.2749 367.66974 0.3897188
1662.6844 425.75854 0.20867722
1634.425 425.75854 0.26085776
1617.1554 413.1988 0.10871937
1615.5854 413.1988 0.19224995
pose 4
1256.7057 297.29794 0.7408944
1260.49 294.45975 0.76971513
1253.8676 294.45975 0.8167332
1266.1664 296.35187 0.73452365
1248.1912 294.45975 0.7976992
1271.8427 312.4349 0.6010773
1239.6766 313.38095 0.60764146
1278.4651 335.14035 0.71057713
