frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,798.9591,618.39185,793.604,613.03674,809.6694,613.03674,790.92645,618.39185,815.0245,615.7143,780.21625,647.845,823.0571,645.1674,780.21625,679.9757,852.5103,671.94305,806.9918,679.9757,855.18787,661.2328,788.2489,722.81665,815.0245,725.4942,796.28156,784.4005,820.37964,784.4005,796.28156,832.59656,812.3469,832.59656
1,798.8622,618.4875,793.5089,613.1342,809.56885,613.1342,790.8323,618.4875,814.9221,615.81085,780.1256,647.93066,822.952,645.254,780.1256,680.0505,852.39526,672.0205,806.8922,680.0505,855.0719,661.3139,788.15564,722.8769,814.9221,722.8769,798.8622,784.4398,820.2754,784.4398,798.8622,832.6195,812.2455,832.6195
2,790.8368,616.08203,793.50964,610.73645,804.2008,610.73645,790.8368,618.7549,814.8921,616.08203,780.1455,648.15576,822.9105,645.4829,780.1455,680.2295,852.3115,672.21106,806.87366,680.2295,854.98425,661.5199,788.16394,722.9945,814.8921,722.9945,798.8552,784.46924,820.2377,784.46924,798.8552,832.57983,812.21924,832.57983
3,798.5868,618.5492,793.23645,610.5237,803.93713,610.5237,790.5613,618.5492,814.6379,615.874,779.8606,647.97614,822.6634,645.3009,779.8606,680.0782,852.0903,672.0527,806.61237,680.0782,854.76544,661.352,787.8861,722.881,814.6379,725.55615,798.5868,784.41,819.9882,784.41,798.5868,832.56305,811.9627,832.56305
4,798.4022,618.6876,793.0538,613.3392,803.7507,610.665,790.3795,618.6876,814.4476,616.0134,779.6826,648.1041,825.1445,645.4299,782.3569,680.1948,851.8867,672.1721,806.42487,680.1948,854.5609,661.4752,787.7053,722.9824,814.4476,722.9824,798.4022,784.48956,819.796,784.48956,798.4022,832.6256,811.7733,832.6256
5,798.358,618.6894,793.0058,613.3372,806.3862,610.66113,790.3297,618.6894,814.4145,616.0133,779.6253,648.1264,822.44275,645.4503,782.3014,680.2395,851.87976,672.21124,830.47107,656.15466,854.5559,661.5069,787.65356,720.38086,814.4145,723.05695,798.358,784.60706,819.76666,784.60706,798.358,832.7767,811.7384,832.7767
6,798.3214,618.6289,792.9673,613.2748,806.3526,610.5977,790.2903,618.6289,814.3838,615.95184,779.58203,648.0765,822.4149,645.3994,782.2591,680.2012,851.86255,672.17,830.4461,656.10767,854.5396,661.4618,787.6132,720.357,814.3838,723.03406,798.3214,784.6063,819.73785,784.6063,798.3214,832.79333,811.7067,832.79333
7,790.204,618.4434,792.8835,613.0844,806.2809,610.40497,790.204,618.4434,814.3194,615.7639,779.486,647.9178,822.35785,645.2383,779.486,680.07166,851.8322,672.0332,806.2809,680.07166,854.5117,661.31525,787.5245,720.26404,814.3194,722.9435,798.24243,784.5718,819.67834,784.5718,798.24243,832.8026,811.6399,832.8026
8,798.19525,618.15985,792.822,612.78656,806.2551,610.0999,790.1354,618.15985,814.315,615.4732,779.38885,647.7127,822.3749,645.02606,782.0755,679.9522,849.2411,671.89233,830.43475,655.7726,854.6144,661.1458,787.4487,722.9382,814.315,722.9382,798.19525,784.7306,819.68823,784.7306,798.19525,833.08984,811.62836,833.08984
9,795.76013,618.56213,793.0732,613.18823,803.821,610.5013,790.3862,618.56213,814.5687,615.8752,779.6385,648.1185,822.6296,645.4316,779.6385,680.3619,849.499,669.6141,830.6904,656.1794,854.8729,661.5532,787.6993,720.666,814.5687,723.35297,798.4471,785.15265,819.9426,785.15265,798.4471,830.83075,811.8818,833.51764
10,793.1271,618.964,793.1271,613.59607,803.8629,610.9121,787.75916,618.964,811.91486,616.28,777.0233,648.48755,822.6507,645.8036,779.7073,680.6952,849.49036,669.95935,830.7026,656.5394,854.8583,661.90735,787.75916,720.9546,814.5988,723.63855,795.81104,785.36975,819.96674,785.36975,798.495,830.9972,811.91486,833.68115
11,793.04193,619.3125,793.04193,611.2637,803.7737,611.2637,790.359,619.3125,811.8225,616.6295,776.9443,648.8248,822.55426,646.1419,779.6272,681.02014,849.3837,670.2883,830.6031,656.87366,854.7496,659.5566,787.676,721.2643,814.50543,723.9472,798.40784,782.9719,819.87134,785.65485,798.40784,831.26483,811.8225,833.94775
12,793.0493,619.27563,793.0493,611.2253,803.78314,611.2253,790.36584,619.27563,811.8335,616.5922,776.94855,648.79376,822.5674,646.1103,779.63196,680.9953,849.402,670.2614,830.6178,656.8441,854.7689,659.5276,787.6824,721.2472,814.51697,723.93066,798.4162,782.96686,819.8839,785.65027,798.4162,831.26917,811.8335,833.95264
13,793.0004,619.23785,793.0004,611.1799,803.7444,611.1799,790.31445,619.23785,811.8023,616.5519,776.8845,648.7837,822.54626,646.0977,779.5705,681.0155,849.4061,670.27155,830.6042,656.8416,854.7781,659.5276,787.6285,721.3053,814.4883,723.9913,798.3724,783.08295,819.8603,785.7689,798.3724,831.43066,811.8023,834.1167
14,792.94104,619.3541,792.94104,611.3058,803.6721,611.3058,787.5755,619.3541,811.72046,616.67126,776.84436,648.8646,822.4516,646.1819,779.52716,681.058,849.27936,670.3269,830.49994,656.91296,854.64496,659.5957,787.5755,723.9824,814.40326,723.9824,798.3066,785.6864,819.7688,785.6864,798.3066,831.2936,811.72046,833.9763
15,790.2073,619.49097,790.2073,614.11914,803.6368,611.4332,787.52136,619.49097,811.6945,616.80505,776.7778,649.0359,822.4381,646.35,782.1496,681.2667,849.2972,670.52313,830.49585,657.0936,854.669,659.7795,787.52136,724.2412,814.38043,724.2412,798.265,783.33105,819.75226,786.01697,798.265,831.67737,811.6945,834.3633
16,790.32996,619.3365,790.32996,613.9629,803.7639,611.27606,787.64307,619.3365,811.82434,616.64966,776.8959,648.8913,822.57153,646.2045,779.58264,681.133,849.4396,670.3858,830.63196,656.9517,854.81323,659.63855,787.64307,724.1219,814.5111,724.1219,798.39026,783.23157,819.88477,785.9184,798.39026,831.59406,811.82434,834.2809
17,790.3161,619.40155,790.3161,614.03125,803.7419,611.3461,787.631,619.40155,811.7973,616.71643,776.8904,648.93823,822.5379,646.25305,782.2607,681.16003,849.38947,670.41943,830.5934,656.99365,854.75977,659.67883,787.631,724.12244,814.4825,724.12244,798.3716,783.19574,819.8528,785.8809,798.3716,831.5285,811.7973,834.2137
18,790.32153,619.4596,790.32153,614.0918,803.74097,611.40796,787.63763,619.4596,811.7926,616.7757,776.9021,648.9823,822.52814,646.29846,782.2699,681.1889,849.36694,670.45337,830.5798,657.03394,854.73474,659.71783,787.63763,724.13104,814.4765,724.13104,798.37317,783.1765,819.84424,785.8604,798.37317,831.48645,811.7926,834.1703
19,790.2782,619.5935,790.2782,614.2347,803.6752,611.5553,787.59875,619.5935,811.71326,616.9141,776.8812,649.0668,822.4309,646.3874,782.24,681.2195,849.22473,670.5019,830.469,657.105,854.5835,659.78436,787.59875,724.0897,814.3927,724.0897,798.3163,785.71576,819.75146,785.71576,798.3163,833.94476,811.71326,833.94476
20,790.2573,619.57513,790.2573,614.2184,803.6493,611.54,787.579,619.57513,811.68445,616.8967,776.8654,649.0374,822.398,646.359,782.22217,681.1781,849.1819,670.46454,830.43317,657.0726,854.5387,659.751,787.579,724.0323,814.36285,724.0323,798.29254,785.63525,819.7196,785.63525,798.29254,833.8462,811.68445,833.8462
21,790.4285,619.5456,790.4285,614.18115,803.8396,611.49896,787.74634,619.5456,811.88617,616.8634,777.0175,649.0498,822.615,646.3676,782.38196,681.23627,849.4371,670.50745,830.6616,657.09644,854.80145,659.7786,787.74634,724.15155,814.5684,724.15155,798.47516,785.8422,819.9328,785.8422,798.47516,831.43976,811.88617,834.1219
22,790.2107,619.6767,790.2107,614.3133,803.6192,611.6316,787.52893,619.6767,811.6643,616.995,776.8021,649.1755,822.3911,646.4938,782.1655,681.35596,849.2082,670.62915,830.4363,657.2206,854.57166,659.9023,787.52893,724.26324,814.346,724.26324,798.2558,785.9425,819.7094,785.9425,798.2558,834.2132,811.6643,834.2132
