frame,pelvis x,pelvis y
0,895.47437,323.06097
1,886.3934,322.21088
2,884.2175,322.74023
3,884.18115,322.72974
4,885.14813,322.42508
5,885.46814,323.04156
6,879.5181,322.37277
7,869.89703,324.76865
8,865.87695,324.53314
9,866.0199,324.5415
10,861.27655,326.53253
11,851.8973,328.0181
12,853.4382,329.1042
13,853.5992,329.75623
14,850.4859,330.02032
15,850.63776,330.03568
16,850.3369,329.39618
17,850.777,328.69196
18,849.29535,328.5656
19,850.54224,329.77664
20,845.5386,330.3556
21,845.6146,330.37366
22,845.38043,332.12286
23,848.1221,331.69107
24,846.3936,331.88654
25,847.7156,330.88116
26,851.21094,331.21487
27,851.00366,331.17438
28,855.89966,331.15625
29,856.5429,330.1549
30,863.80304,330.78708
31,865.6233,330.61835
32,873.0478,331.0263
33,873.35913,331.0781
34,879.6891,329.9058
35,883.6348,329.5623
36,885.03925,328.2127
37,892.8113,326.4681
38,898.8355,324.928
39,899.0438,324.9311
40,904.92773,322.5397
41,905.273,320.8609
42,905.9519,318.65897
43,908.99835,316.4165
44,915.5767,314.50882
45,915.6461,314.40732
46,920.4173,313.09344
47,928.4146,312.77765
48,936.5408,312.38275
49,933.74457,309.96063
50,942.5423,308.2023
51,942.42664,308.1703
52,952.2192,305.2546
53,957.328,301.4697
54,963.40045,297.02744
55,968.362,293.25552
56,977.66016,291.49136
57,977.7352,291.4993
58,974.7775,290.34396
59,986.6183,289.2858
60,997.79224,287.09564
61,1007.13995,284.93784
62,1010.0087,284.42856
63,1009.92755,284.43906
64,1008.30597,282.45682
65,1012.317,278.9021
66,1016.0091,276.21878
67,1021.7449,272.68915
68,1022.32184,270.02936
69,1022.5549,270.05325
70,1022.8943,267.6301
71,1029.9744,265.4984
72,1035.8485,264.23633
73,1045.8716,264.76996
74,1046.9727,264.3202
75,1046.9381,264.29358
76,1048.5493,264.50742
77,1043.609,265.0345
78,1038.6464,265.15433
79,1032.7618,265.32062
80,1022.16125,267.82233
81,1022.2897,267.71448
82,1019.72565,269.50467
83,1021.19196,271.66757
84,1021.49493,275.34058
85,1027.5527,277.3473
86,1027.478,277.41037
87,1027.3438,277.40762
88,1021.4195,276.37085
89,1019.1661,277.04132
90,1027.7069,277.20352
91,1029.328,275.03708
92,1022.7365,272.33237
93,1022.7152,272.35587
94,1021.22437,267.39496
95,1018.51575,261.59988
96,1008.8233,252.92444
97,1013.31647,244.53792
98,1028.7593,235.72249
99,1028.6167,235.65533
100,1040.5468,230.28456
101,1049.7346,223.31047
102,1053.0654,216.23814
103,1057.2505,209.20462
104,1061.6477,204.32942
105,1061.5951,204.3149
106,1061.2483,199.28651
107,1062.106,192.59988
108,1066.9734,185.43031
109,1067.2646,178.43025
110,1068.6849,171.77893
111,1066.2991,171.6842
112,1068.3933,165.7147
113,1064.9281,160.01303
114,1073.4174,152.39534
115,1079.0918,146.0288
116,1087.608,139.79024
117,1087.4447,139.77321
118,1096.0571,134.38278
119,1100.8336,130.17097
120,1101.8732,128.17514
121,1105.6887,125.435844
122,1107.3228,123.64578
123,1107.4373,123.59754
124,1105.6724,121.21099
125,1103.6034,117.898575
126,1101.6301,113.58555
127,1106.7601,108.943855
128,1111.7788,104.11413
129,1111.9585,104.13154
130,1123.8242,100.753334
131,1126.6617,97.69507
132,1135.3695,93.73526
133,1148.3702,90.635284
134,1142.835,88.534355
135,1142.9314,88.513916
136,1144.0482,85.92813
137,1142.7144,84.902176
138,1141.1064,81.85519
139,1141.479,80.21017
140,1137.7634,78.793655
141,1137.6738,78.78911
142,1140.0593,76.86244
143,1151.915,72.402176
144,1156.1383,69.82599
145,1168.178,66.40436
146,1180.758,64.740776
147,1180.8966,64.28299
148,1187.8165,62.005833
149,1187.796,60.476208
150,1188.4346,60.88024
151,1193.0175,61.879017
152,1193.1224,62.320557
153,1192.9921,62.307957
154,1194.6888,62.025417
155,1197.135,62.629284
156,1194.4252,60.732063
157,1199.4552,60.781734
