frame,pelvis x,pelvis y
0,244.83969,216.2231
1,241.81288,216.12566
2,245.10063,216.23265
3,241.56259,216.25859
4,242.09792,216.24454
5,243.70984,216.22078
6,243.50214,216.00293
7,246.46,215.94029
8,241.67953,216.30345
9,239.3001,215.49348
10,239.43616,215.50885
11,239.98814,215.59769
12,239.93588,214.60072
13,242.14651,213.12744
14,244.60413,211.26643
15,239.34256,209.71193
16,239.34448,209.71346
17,232.60315,207.83574
18,250.78514,208.26247
19,238.0885,208.9501
20,243.75552,211.22421
21,255.34186,214.16412
22,255.35945,214.18556
23,277.5826,218.73555
24,287.40277,224.5021
25,295.37436,229.62863
26,301.34085,236.1281
27,321.15646,243.20744
28,320.9741,243.95404
29,335.72534,249.11644
30,338.03278,252.21042
31,341.77966,255.16997
32,344.37506,260.811
33,345.30945,265.56253
34,345.34372,265.56262
35,347.41946,270.012
36,353.58295,271.88464
37,357.59277,272.02817
38,365.90234,274.60458
39,367.2383,278.72525
40,367.53058,278.7256
41,360.3802,281.512
42,354.52658,285.02664
43,339.0673,288.28738
44,332.49942,293.31268
45,318.63953,298.6608
46,318.69055,298.72986
47,304.4966,303.78128
48,298.21317,307.87805
49,291.11768,311.6766
50,283.27615,315.0799
51,285.04642,319.08115
52,285.18582,319.0606
53,286.0772,320.6169
54,281.59216,323.39502
55,281.2658,326.09146
56,267.72842,328.28116
57,253.42152,330.92953
58,253.4132,331.0199
59,243.09698,333.10834
60,227.16148,335.7852
61,215.97105,339.14304
62,206.6429,343.15585
63,210.95525,346.4893
64,211.22177,346.54187
65,219.68332,349.93454
66,224.68877,353.27942
67,230.60658,353.24222
68,230.90695,354.51306
69,228.99199,355.1476
70,229.06268,355.10516
71,229.45453,356.83304
72,213.2502,361.38837
73,209.86014,367.5352
74,219.11444,368.64215
75,235.71353,369.2811
76,236.10526,369.40085
77,254.4453,369.24188
78,258.71707,367.47427
79,266.1055,365.29614
80,281.15396,364.61862
81,298.6129,366.9766
82,295.50116,367.11484
83,304.66586,368.05612
84,309.56216,369.2842
85,312.0531,370.70007
86,315.48755,371.7608
87,317.29776,373.9899
88,317.64914,374.01456
89,309.9499,374.33972
90,298.50412,374.99854
91,290.82025,375.4553
92,280.2163,374.04788
93,270.06036,373.15375
94,270.06543,373.15448
95,272.679,371.05487
96,274.2959,367.22937
97,277.28207,363.6402
98,284.45898,360.25955
99,294.92508,359.03815
100,294.96988,359.08463
101,286.79364,357.26266
102,275.97662,354.5132
103,266.37933,351.15817
104,254.37854,347.7623
105,245.47389,342.01453
106,243.79102,341.75668
107,237.68814,334.7791
108,241.07771,326.91153
109,225.60765,318.48453
110,229.41425,308.04056
111,230.59097,297.54147
112,229.77483,297.4346
113,246.7347,282.6178
114,253.74954,270.2267
115,266.35202,263.19708
116,275.6181,261.0659
117,265.25833,259.45178
118,265.17572,259.4118
119,251.89465,254.88324
120,246.29947,247.46478
121,262.40668,238.54259
122,256.52634,234.986
123,247.10532,236.04208
124,247.38718,235.9559
125,241.93916,237.11598
126,231.0385,234.82637
127,229.77731,231.0822
128,224.50941,228.20157
129,215.0061,226.90944
130,214.69707,226.73145
131,217.31819,229.0365
132,204.01839,233.78934
133,191.37976,239.44176
134,176.09659,247.72104
135,157.68384,260.11224
136,157.56635,260.17612
137,131.63289,272.1222
138,125.46304,282.85385
139,114.70437,294.71603
140,117.12549,303.38123
141,108.99201,315.12888
142,108.95315,315.1667
143,93.90143,331.28058
144,65.81429,339.4679
145,47.753223,347.9206
146,40.710094,356.17786
147,63.414528,361.41208
148,63.358223,361.37656
149,62.798912,371.33173
150,64.91317,379.71387
151,75.65864,386.50626
152,68.62379,388.99872
153,60.26756,390.2798
154,59.868145,390.12347
155,53.14275,390.69858
156,43.753323,391.43893
157,28.494684,391.78976
158,25.45293,392.2368
159,9.386135,391.45978
160,9.943129,391.41806
161,6.9731164,391.94324
162,6.381774,393.4314
163,12.239163,393.61722
164,13.141816,393.72684
165,19.613495,392.68695
166,19.750263,392.6971
167,15.616367,392.3504
168,14.220422,390.78656
169,12.112492,387.34827
170,9.996192,383.59213
171,15.397645,379.09598
172,15.879145,379.15393
173,21.794882,373.47433
174,28.367693,368.62375
175,43.6493,361.98175
176,61.662388,356.98608
177,80.45097,351.59567
178,80.669106,351.43787
179,103.45588,349.44022
180,120.66974,347.28348
181,123.48787,346.64508
182,125.195404,346.56638
183,135.71384,346.29013
184,132.22856,346.25552
185,138.24333,345.57742
186,142.36792,345.58014
187,151.02037,345.233
188,154.74252,345.10895
189,162.00583,345.91833
190,162.45549,345.62582
191,161.99443,346.40506
192,162.11906,347.90625
193,162.11559,347.70276
194,165.33365,347.56195
195,171.00635,346.98587
196,171.22227,346.9955
197,176.70184,346.51514
198,197.35312,345.07358
199,214.07649,344.8546
200,228.15924,345.57205
201,229.74731,344.4852
202,229.73335,344.46597
203,229.4898,344.56573
204,231.0565,344.2251
205,228.37033,346.07736
206,226.7521,347.61908
207,224.19191,351.7293
208,224.43047,351.70236
209,212.78612,360.30685
210,211.9282,369.4634
211,221.73834,373.4913
212,218.51837,375.84256
213,220.93431,380.5968
214,220.41658,380.5304
215,224.0958,386.2753
216,233.24928,387.82794
217,234.39178,393.24637
218,235.87703,395.52673
219,238.15393,397.00815
220,238.15741,397.00345
221,244.92888,400.59885
222,250.04668,403.92133
223,250.16208,407.30908
224,252.82257,409.88397
225,257.72824,411.2532
226,257.84406,411.35678
227,254.31813,410.0842
228,250.9356,409.39948
229,250.24466,407.6961
230,246.17635,406.74243
231,244.49832,403.52515
232,241.43402,403.5922
233,231.79182,399.217
234,218.59265,393.59735
235,235.2195,384.67877
236,239.79622,379.5453
237,249.44142,375.1435
238,249.9496,374.4507
239,251.93616,371.90765
240,245.93277,369.8769
241,244.86745,368.93768
242,240.93953,365.5442
243,228.28543,360.91776
244,230.59135,360.90768
245,225.588,355.0856
246,222.9627,347.87268
247,212.56697,336.7129
248,213.66608,325.52087
249,227.25398,315.40805
250,223.85942,315.47842
251,227.65045,305.6247
252,254.74187,304.33676
253,258.38858,303.30466
254,254.37518,302.19635
255,253.6644,300.64963
256,253.64645,300.63913
257,262.97906,295.69778
258,254.4558,292.4975
259,243.97543,287.6561
