frame,pelvis x,pelvis y
0,983.54285,214.06332
1,983.6991,214.09904
2,984.1545,214.231
3,987.953,213.86066
4,987.863,213.77016
5,988.1672,213.85187
6,988.06067,214.342
7,985.1284,214.07457
8,985.995,214.0963
9,985.4577,213.98088
10,985.7127,213.9896
11,985.58,213.75258
12,985.795,214.3148
13,986.50385,213.52791
14,984.5384,213.56659
15,984.7172,213.52945
16,984.69794,213.53304
17,985.1995,213.44748
18,985.0034,213.25726
19,985.3227,213.23535
20,985.5252,213.31737
21,986.4413,213.36061
22,986.5565,213.38298
23,986.9171,213.51309
24,986.62286,213.48946
25,986.54034,213.36134
26,986.14496,213.15839
27,985.52136,213.06947
28,985.45325,213.06044
29,985.7022,213.01474
30,985.8881,213.19785
31,985.8596,213.57422
32,985.56744,213.6369
33,987.292,213.74083
34,987.51056,213.7182
35,986.851,213.71407
36,986.99115,213.63931
37,987.15894,213.77153
38,987.50305,213.79024
39,987.99457,213.97418
40,987.88916,213.97008
41,987.04803,213.98573
42,986.9508,214.03198
43,986.43207,214.09372
44,986.3549,214.10664
45,986.1498,214.15657
46,986.08154,214.14778
47,986.45905,214.12334
48,987.3954,214.11636
49,987.2734,214.04704
50,987.7069,213.99117
51,988.67474,213.8818
52,988.4363,213.79439
53,986.4029,213.68355
54,986.58203,213.64925
55,987.1853,213.70175
56,987.35596,213.63544
57,987.67175,213.7302
58,987.32965,213.6704
59,985.3427,213.51913
60,985.60486,213.63557
61,985.6005,212.85912
62,985.5576,212.95985
63,985.16693,212.75624
64,985.13654,212.77646
65,985.5036,212.77074
66,985.07623,213.61407
67,985.70337,212.94193
68,987.6457,212.9931
69,987.2411,213.13762
70,987.1973,213.13863
71,987.11597,213.16492
72,982.7223,213.24667
73,979.408,212.01797
74,978.0927,211.10985
75,978.93225,209.49059
76,979.15405,209.62515
77,980.21594,208.29372
78,988.3567,204.4253
79,990.8984,202.97739
80,993.34076,202.36603
81,987.84735,202.86685
82,988.0964,202.79572
83,973.397,203.07634
84,957.4481,206.10258
85,968.28265,208.33284
86,945.0482,213.66357
87,934.51605,218.8954
88,934.29016,218.89352
89,917.7186,223.47058
90,905.61,229.37799
91,898.2045,235.63
92,888.749,241.44446
93,889.4207,248.68115
94,889.3639,248.71817
95,891.8896,257.13367
96,881.4212,261.24484
97,873.4574,264.7261
98,869.9877,269.01672
99,874.76044,270.8446
100,874.71234,270.87933
101,872.42474,270.69604
102,867.889,267.559
103,864.0739,264.50266
104,867.4792,260.89383
105,871.9813,256.7802
106,871.589,256.80234
107,888.2763,252.25185
108,900.9784,250.0487
109,909.8639,250.05496
110,922.1858,251.04495
111,927.2742,251.49782
112,927.1188,251.47122
113,922.0607,250.48854
114,921.39264,249.42421
115,919.7685,248.54466
116,917.5211,247.48418
117,922.3916,245.79483
118,922.4058,245.77063
119,929.04846,243.1511
120,939.1577,241.07355
121,939.9062,239.00229
122,930.14264,238.01984
123,936.0187,236.49306
124,935.8717,236.48827
125,947.12756,237.19276
126,957.6638,238.8925
127,961.64514,240.03603
128,970.0517,238.43651
129,975.292,236.55711
130,975.403,236.65411
131,980.7825,235.457
132,985.6492,238.25874
133,989.87744,241.69273
134,1002.72974,247.76663
135,1005.3564,257.72345
136,1005.30505,257.7367
137,1003.0583,269.22836
138,1021.9171,279.83725
139,1048.609,286.61957
140,1056.4858,294.85028
141,1068.8501,303.63925
142,1068.9791,303.58652
143,1077.4777,311.38736
144,1084.4581,319.9478
145,1092.3408,328.12054
146,1107.0933,339.52036
147,1123.0356,348.95667
148,1123.4694,348.82568
149,1155.3455,357.48904
150,1167.3878,364.04822
151,1170.9525,371.92993
152,1176.794,376.13223
153,1177.47,378.29214
154,1179.8475,378.23734
155,1175.5132,379.60574
156,1171.4844,377.89203
157,1156.5332,376.79755
158,1144.5161,374.9475
159,1136.3358,370.4236
160,1136.4247,370.41068
161,1130.1099,365.30496
162,1124.642,360.82855
163,1127.2001,356.41434
164,1131.1726,353.42313
165,1133.2916,352.98138
166,1133.3055,352.97156
167,1133.8192,351.7467
168,1127.2317,351.87497
169,1116.1968,352.98337
170,1098.7405,353.79324
171,1084.087,353.93484
172,1083.9711,353.9293
173,1069.2712,352.42358
174,1062.2415,352.42603
175,1052.6742,352.8167
176,1046.3925,354.9102
177,1039.1704,356.61945
178,1039.2815,355.82043
179,1034.6136,359.51007
180,1020.1202,361.49387
181,1020.10077,363.31998
182,1025.0127,368.21497
183,1021.499,369.50607
184,1021.69006,369.55206
185,1024.1635,368.35355
186,1001.5137,365.76962
187,989.03656,359.97836
188,970.01807,356.07397
189,950.25055,348.14105
190,950.75037,348.13025
191,929.50085,339.79553
192,912.89667,329.6369
193,891.66,321.10992
194,885.08167,314.26318
195,871.7859,297.2651
196,871.766,297.2886
197,873.4416,284.9278
198,863.4447,268.49542
199,865.4883,260.1733
200,864.79706,254.54602
201,857.80786,250.00298
202,858.09753,250.07309
203,850.64,246.53703
204,841.4939,243.09227
205,831.2625,240.0693
206,827.02185,239.25276
207,824.5318,239.79675
208,824.19696,239.77946
209,826.16376,239.67206
210,823.9308,238.85059
211,823.70807,237.22716
212,824.69775,234.71602
213,829.0344,231.77655
214,828.4141,231.77235
215,837.18427,230.54669
216,853.78754,227.32741
217,865.11786,223.46999
218,874.23413,220.34033
219,877.4042,220.59389
220,877.4159,220.5694
221,880.29584,223.90501
222,881.24554,226.46248
223,891.1077,229.76967
224,905.55194,235.03416
225,912.24725,239.36116
226,912.1309,239.41483
227,917.4031,245.05237
228,923.0785,250.72757
229,931.8094,255.31728
230,943.72845,260.51892
231,954.33716,263.3133
232,953.7865,263.95834
233,960.46844,266.76788
234,977.60266,268.0945
235,983.7099,269.4586
236,983.0547,271.93475
237,979.5828,275.9432
238,979.6105,275.88766
239,973.9514,280.3103
240,976.3211,285.89392
241,967.89185,291.26312
242,969.9186,295.70322
243,973.77356,301.04352
244,973.71826,301.05597
245,985.80505,303.40237
246,995.1595,306.43964
247,1004.9831,309.26178
248,1019.42017,309.32623
249,1036.954,309.7522
250,1036.5741,310.20712
251,1039.9344,311.39633
252,1035.4548,317.3952
253,1033.9596,322.59818
254,1019.00116,330.95718
255,1004.2506,342.45563
256,1004.19653,342.46777
257,1007.1658,350.89108
258,996.87836,356.26892
259,978.2262,364.35822
260,967.0325,370.0293
261,968.1213,375.6388
262,968.06824,375.69522
263,946.81335,380.88312
264,921.85876,386.60486
265,917.42224,392.8601
266,918.72473,397.35214
267,915.04205,403.5558
268,915.4015,403.50223
269,909.8576,408.91412
270,902.3562,412.5446
271,887.3337,415.0166
272,877.49084,416.26526
273,873.9562,415.7837
274,873.89795,415.77777
275,878.4845,414.5864
276,886.97534,411.92737
277,890.9453,410.16937
278,891.9133,409.1699
279,897.39246,406.05746
280,897.01117,406.05295
281,901.35443,400.164
282,901.17346,395.19254
283,902.98303,389.52182
284,907.48,381.37558
285,917.7133,373.4921
286,917.6945,373.5162
287,925.2172,371.24664
288,932.9401,368.906
289,944.6074,366.81577
290,953.5661,364.8483
291,958.86774,363.376
292,958.84937,363.37326
293,962.853,360.50845
294,965.17236,358.36163
295,958.985,357.44943
296,964.6201,355.87686
297,963.7679,353.2378
298,964.05475,353.2283
299,972.7632,350.18283
300,991.5175,347.7686
301,999.2071,346.84726
302,999.9896,347.10327
303,997.53156,349.14548
304,1000.12946,349.01273
305,995.26526,353.45822
306,994.5073,360.32047
307,994.74,370.5433
308,1004.2176,381.28354
309,1014.3905,395.81296
310,1014.3594,395.83035
311,1036.5729,406.3113
312,1056.1449,413.08118
313,1069.7557,421.92407
314,1073.2001,428.56885
315,1087.7161,428.89954
316,1087.5831,429.00787
317,1088.8776,431.74658
318,1091.6283,432.14066
319,1078.9222,437.46603
320,1043.037,447.45184
321,1006.1775,454.4666
322,1006.6005,454.48538
323,1001.71436,459.27057
324,1006.3237,464.91776
325,995.4238,470.42697
326,993.82513,477.68216
327,994.24567,484.02917
328,994.23224,484.064
329,996.8126,491.47537
330,1011.8373,498.07
331,1025.7134,506.09772
332,1031.3962,512.2491
333,1063.6588,520.7684
334,1063.6982,520.7142
335,1097.2736,527.5219
336,1192.8223,539.55066
337,1244.0682,544.7481
338,1222.5154,544.4947
339,1207.1154,544.9819
340,1207.703,544.94995
341,1199.699,543.0631
342,1202.6573,542.4817
343,1200.992,538.46875
344,1196.4071,536.0914
345,1196.2439,532.47754
346,1196.1023,532.4671
347,1181.5466,527.88495
348,1156.0532,527.4912
349,1147.2365,520.4205
350,1141.1812,515.10266
351,1132.5306,506.91263
352,1132.4395,506.8654
353,1118.7511,496.2387
354,1103.9409,486.71237
355,1087.2015,480.7551
356,1083.1366,475.34952
357,1076.6328,467.63092
358,1076.3773,467.62585
359,1070.557,459.10876
360,1064.5408,447.39868
361,1064.3778,430.2926
362,1056.0605,418.1516
363,1048.5889,406.62875
364,1048.3436,406.63934
365,1033.6444,392.943
366,1043.0724,381.74756
367,1020.32996,365.00543
