frame,pelvis x,pelvis y
0,989.46454,399.8749
1,989.18494,399.85345
2,988.86487,400.52707
3,988.8286,400.49368
4,988.08685,399.74823
5,989.98804,400.0929
6,988.6002,400.1768
7,988.6933,400.16714
8,987.78,400.03928
9,988.19525,399.81415
10,986.95624,400.2352
11,987.24493,400.0495
12,987.42303,400.04535
13,987.5671,400.01248
14,987.7481,400.0637
15,988.72253,399.96268
16,988.4729,400.50037
17,988.2437,400.52844
18,988.3609,399.91425
19,988.1875,399.9164
20,988.2558,399.95773
21,991.1557,399.87024
22,992.2958,400.26587
23,992.2175,399.68826
24,992.3104,399.84628
25,992.0182,399.8358
26,989.4421,399.93942
27,992.2294,399.8837
28,989.672,400.09122
29,989.0889,400.1589
30,989.5885,400.25775
31,989.5544,400.2678
32,989.49176,400.29156
33,989.2685,400.3487
34,989.2829,399.62674
35,988.9708,399.63797
36,989.01056,400.47784
37,989.2995,400.47104
38,988.8217,399.8581
39,988.9096,399.77362
40,988.60785,399.95288
41,988.7102,399.95596
42,986.5817,399.88373
43,986.6362,399.87665
44,987.9727,400.147
45,987.85156,400.00333
46,987.86053,400.0383
47,985.4374,400.0786
48,987.7282,400.68137
49,987.8271,400.684
50,982.21674,400.7561
51,977.3802,400.52402
52,971.8004,399.94644
53,970.7127,398.2468
54,972.0546,397.95
55,971.91034,397.9507
56,978.2918,398.13434
57,984.4124,399.44504
58,989.3908,400.05554
59,992.0148,400.35892
60,989.3349,399.79306
61,989.1544,399.81747
62,979.69836,401.3827
63,955.87646,403.63837
64,942.25793,402.6509
65,930.31213,402.4036
66,907.7642,403.67087
67,907.97565,403.67252
68,884.61237,409.7952
69,859.07605,414.19757
70,855.948,418.94586
71,855.4953,423.18973
72,863.08154,424.3364
73,867.0733,424.15396
74,885.8888,422.09155
75,900.6537,421.32285
76,924.0206,418.46606
77,942.28656,413.5138
78,965.0307,409.2022
79,964.97705,409.22247
80,985.5998,403.5789
81,1004.0616,398.0931
82,1020.53577,393.00903
83,1037.6212,389.54843
84,1035.119,386.84482
85,1035.2443,386.84396
86,1031.6212,386.28094
87,1021.64355,384.19992
88,1020.97394,381.09512
89,1018.7287,378.6671
90,1020.1497,376.06308
91,1020.11475,376.0415
92,1022.98895,373.14316
93,1021.1494,371.27377
94,1018.6137,369.65637
95,1019.7436,369.0722
96,1015.6675,368.7565
97,1015.57294,368.7112
98,1009.5934,366.76712
99,1001.1007,364.7638
100,993.62274,361.6306
101,989.2841,358.3056
102,986.82007,353.91025
103,989.7171,353.90683
104,987.98773,350.07294
105,994.65027,345.2089
