frame,pelvis x,pelvis y
0,265.54245,291.51193
1,265.55786,291.4946
2,267.34738,291.52573
3,266.4022,291.41626
4,265.3855,291.5718
5,265.82733,291.46194
6,265.8822,290.99658
7,265.08383,291.78104
8,267.45422,291.43924
9,267.9508,291.28418
10,269.2002,291.99344
11,269.61517,290.68942
12,268.28976,291.28915
13,271.44943,291.28012
14,272.43674,291.23962
15,265.9296,291.7579
16,269.89117,291.58197
17,271.8886,290.90915
18,273.4589,291.1509
19,272.83206,291.152
20,271.33496,290.90042
21,272.7375,291.10196
22,274.71594,291.28812
23,268.3097,290.93378
24,270.11426,290.82187
25,270.3197,290.83398
26,270.72733,290.75833
27,269.64365,290.74246
28,267.4477,290.8652
29,266.8847,290.7911
30,270.3153,290.88248
31,266.97937,290.87357
32,267.58853,290.84818
33,266.81396,290.8408
34,267.28168,291.59814
35,266.4871,291.54172
36,265.2837,290.6089
37,265.43195,290.62158
38,265.15744,291.06485
39,265.8678,291.22556
40,265.93234,291.39282
41,268.15918,290.44815
42,266.75735,290.66656
43,267.11197,290.68604
44,266.09387,291.33316
45,270.23306,291.6659
46,267.55353,290.61655
47,261.8514,290.80215
48,263.46567,290.5751
49,263.01236,290.57837
50,262.99225,289.50027
51,258.7565,289.0138
52,252.89037,287.18982
53,255.66814,285.55484
54,256.37534,283.0868
55,256.2332,283.05905
56,267.44586,278.88565
57,279.56863,276.45856
58,275.9805,276.19586
59,270.16956,278.12393
60,267.60825,280.43173
61,267.6684,280.4708
62,261.77542,283.31573
63,253.97882,285.9347
64,251.42128,287.19482
65,253.54796,286.46234
66,240.79175,286.8952
67,240.49524,286.8814
68,230.81577,289.62906
69,218.34378,292.4502
70,207.25801,297.14743
71,203.52385,302.79288
72,213.84328,305.09723
73,213.8181,305.0986
74,219.70906,304.23468
75,217.28769,302.72543
76,208.4992,303.28894
77,209.17012,304.6501
78,202.82104,305.02478
79,203.01385,305.0621
80,201.53458,307.31335
81,196.12822,309.9038
82,200.60364,314.52737
83,199.99518,318.91016
84,206.12329,323.93237
85,205.76152,323.95074
86,206.40004,329.79572
87,213.76248,337.729
88,220.23032,343.94464
89,237.53549,349.59872
90,231.96878,357.39487
91,231.88683,357.4353
92,237.3045,361.58957
93,236.92871,362.18427
94,225.13007,362.26218
95,221.10542,364.277
96,225.63844,367.13922
97,225.54411,367.11197
98,231.93459,370.56873
99,223.9232,374.109
100,221.68839,377.27655
101,216.57042,379.65988
102,218.97458,381.4119
103,219.27856,381.4417
104,212.03476,382.5161
105,208.48332,383.92767
